TIME,VX,VY,R,Fz_1,Fz_2,Fz_3,Fz_4,omega_1,omega_2,omega_3,omega_4,slip_1,slip_2,slip_3,slip_4,TAU_1,TAU_2,TAU_3,TAU_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.74540024354647e-30,-3.87121334405186e-56,7.36256040945176e-46,-8.8350724910362e-46,0,0,0,0,0,0,0,0,1.64932891341237e-44,-1.18715554444924e-43,9.27682611616869e-44,-9.27682611500733e-44,1.18210188836587e-43,1.23407642357741e-44,-3.22480145926645e-43,-3.22480145926645e-43
4.36651296554905e-15,-1.72184125390293e-29,2.79679269595973e-30,1.69547288596615e-30,1.41248207273397e-30,1.41248207273397e-30,7.24279079336605e-28,7.24279079336605e-28,0,0,0,0,2.52485166504615e-27,2.86631132967968e-27,2.40473722782795e-27,2.76078653388084e-27,-9.69084798718747e-29,-8.77934853130332e-29,-1.26054117620837e-29,-1.26054117620837e-29
8.7330259310981e-15,-6.88736501560523e-29,1.00680593512357e-29,8.12482526296936e-30,5.64992830454621e-30,5.64992830454621e-30,2.89711631735812e-27,2.89711631735812e-27,0,5.44709986254408e-54,5.44709986254408e-54,5.44709986254408e-54,9.99448972315978e-27,1.16295955135818e-26,9.47794087079606e-27,1.11841541760196e-26,-5.3563993828862e-28,-4.28000751149473e-28,4.39749160427285e-28,4.39749160427285e-28
3.05655907588433e-14,-8.51797633104558e-28,7.06893363678734e-29,6.57249023313931e-29,6.92116226566424e-29,6.92116226566424e-29,3.5489674888433e-26,3.5489674888433e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,5.08122297024525e-24,5.09487789862401e-24,5.07920586637804e-24,5.09300809586763e-24,-1.01959455433717e-26,-9.40867127879375e-27,5.17057610435333e-27,5.17057610435333e-27
5.23981555865885e-14,-2.50907546600804e-27,1.72065244861887e-28,1.66079974739455e-28,2.03397424300708e-28,2.03397424300708e-28,1.04296187429481e-25,1.04296187429481e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,1.57894815938057e-23,1.58240282346302e-23,1.57848613016342e-23,1.58197380963295e-23,-1.85703130501127e-26,-1.68980880241664e-26,1.40494072081861e-26,1.40494072081861e-26
1.61560979725315e-13,-2.38899677854711e-26,1.40039097891605e-27,1.42625274388419e-27,1.9336881427582e-27,1.9336881427582e-27,9.91538059771029e-25,9.91538059771029e-25,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,1.53872588851284e-22,1.54169573363711e-22,1.53836637821832e-22,1.54136150898048e-22,-1.07135368577869e-25,-9.48542345643829e-26,1.32242011694799e-25,1.32242011694799e-25
2.70723803864041e-13,-6.7088097163788e-26,3.86783593993986e-27,3.98944535180355e-27,5.42958195789149e-27,5.42958195789149e-27,2.78412878171817e-24,2.78412878171817e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,4.32855208743048e-22,4.33685990220836e-22,4.32755775474313e-22,4.33593558998192e-22,-2.87728040603e-25,-2.5360627792129e-25,3.77291493441873e-25,3.77291493441873e-25
8.16537924557671e-13,-6.10337299881021e-25,3.47918491264354e-26,3.63507059484301e-26,4.93931100908982e-26,4.93931100908982e-26,2.53273151463773e-23,2.53273151463773e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,3.94126099732483e-21,3.94883115003073e-21,3.94036188033063e-21,3.9479955285798e-21,-2.57110564030505e-24,-2.25930493959984e-24,3.50539205865791e-24,3.50539205865791e-24
1.3623520452513e-12,-1.69901742882753e-24,9.6693842930257e-26,1.01287462454081e-25,1.37496767437872e-25,1.37496767437872e-25,7.05042227957106e-23,7.05042227957106e-23,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,1.09721546001524e-20,1.09932481014179e-20,1.09696520118849e-20,1.09909223790003e-20,-7.15517363485915e-24,-6.284901005318e-24,9.80491454944084e-24,9.80491454944084e-24
4.09142264871946e-12,-1.53238819593391e-23,8.70873521040503e-25,9.14603683443273e-25,1.24011856828264e-24,1.24011856828264e-24,6.35894581667422e-22,6.35894581667422e-22,1.92957972063237e-21,1.92957972063237e-21,1.92957972063237e-21,1.92957972063237e-21,9.89639397788026e-20,9.91544096828015e-20,9.89413630209519e-20,9.9133429794475e-20,-6.45858696002676e-23,-5.67113424616406e-23,8.88738558703101e-23,8.88738558703101e-23
6.82049325218761e-12,-4.25845196144976e-23,2.41950271184347e-24,2.54230729926523e-24,3.44625007411058e-24,3.44625007411058e-24,1.76712797822277e-21,1.76712797822277e-21,5.36224767800341e-21,5.36224767800341e-21,5.36224767800341e-21,5.36224767800341e-21,2.75017920111759e-19,2.75547365851178e-19,2.7495517449572e-19,2.75489059028566e-19,-1.79533824931818e-22,-1.57635218554192e-22,2.47228345047134e-22,2.47228345047134e-22
2.04658462695284e-11,-3.83424303805054e-22,2.17793913215332e-23,2.28966362645823e-23,3.1029750165546e-23,3.1029750165546e-23,1.59109406956206e-20,1.59109406956206e-20,4.8280899126824e-20,4.8280899126824e-20,4.8280899126824e-20,4.8280899126824e-20,2.47622074294569e-18,2.48098905934491e-18,2.47565573271017e-18,2.48046402632573e-18,-1.61703249554267e-21,-1.41971612202454e-21,2.22828400526977e-21,2.22828400526977e-21
