TIME,AX,AY,AngACC,X,Y,R
0,0,1.30673615416864e-17,-1.53776449275335e-16,77,-148,0
5.74548004963942e-30,-9.60076352321548e-31,1.30673615416861e-17,-1.53776449275338e-16,77,-148,-8.83519521430436e-46
4.36651296554905e-15,-7.29649359862702e-16,-2.38069115796648e-16,-2.85295642143488e-15,77,-148,-6.56446903194958e-30
8.7330259310981e-15,-1.4592987197234e-15,-4.89205593134293e-16,-5.55213639358702e-15,77,-148,-2.49149424086624e-29
3.05655907588433e-14,-5.10754551899687e-15,-1.74488797981218e-15,-1.90480362542366e-14,77,-148,-2.9345737446236e-28
5.23981555865885e-14,-8.75579231822029e-15,-3.00057036647285e-15,-3.25439361147011e-14,77,-148,-8.56649915129733e-28
1.61560979725315e-13,-2.69970263135867e-14,-9.2789822995178e-15,-1.00023435414247e-13,77,-148,-8.09236424750729e-27
2.70723803864041e-13,-4.5238260307702e-14,-1.55573942321321e-14,-1.67502934709164e-13,77,-148,-2.26943312945511e-26
8.16537924557671e-13,-1.36444430259511e-13,-4.69494538887443e-14,-5.04900431114323e-13,77,-148,-2.06197957229208e-25
1.3623520452513e-12,-2.27650600180042e-13,-7.83415135345906e-14,-8.42297927403775e-13,77,-148,-5.73857900946066e-25
4.09142264871946e-12,-6.83681449313513e-13,-2.35301811602336e-13,-2.5292854071154e-12,77,-148,-5.17450238369386e-24
6.82049325218761e-12,-1.13971229766502e-12,-3.92262109400938e-13,-4.2162728839343e-12,77,-148,-1.43790548004398e-23
2.04658462695284e-11,-3.41986652769301e-12,-1.17706359435679e-12,-1.2651210224638e-11,77,-148,-1.29460435572953e-22
3.41111992868691e-11,-5.70002073817181e-12,-1.96186507258404e-12,-2.10861474930236e-11,77,-148,-3.59639513375805e-22
1.02337964373573e-10,-1.71007914973275e-11,-5.88587236279123e-12,-6.32608327501802e-11,77,-148,-3.23700031769654e-21
1.70564729460277e-10,-2.85015617677523e-11,-9.80987948478315e-12,-1.05435516199382e-10,77,-148,-8.99180338282386e-21
5.11698554893796e-10,-8.55054057888849e-11,-2.94299125715044e-11,-3.16308906325972e-10,77,-148,-8.09274476019593e-20
8.52832380327315e-10,-1.42509237591634e-10,-4.90499414528063e-11,-5.27182251253279e-10,77,-148,-2.24799127722128e-19
2.55850150749491e-09,-4.27528213326298e-10,-1.47150022776886e-10,-1.58154829788786e-09,77,-148,-2.02319743949955e-18
4.26417063466251e-09,-7.12546883587694e-10,-2.452499989608e-10,-2.63591321448817e-09,77,-148,-5.6199940713224e-18
1.27925162705005e-08,-2.13763565237943e-09,-7.35748302635518e-10,-7.90772084538699e-09,77,-148,-5.05798736050384e-17
2.13208619063385e-08,-3.56271678262941e-09,-1.22624397722114e-09,-1.31795002189024e-08,77,-148,-1.40499388899211e-16
6.39625900855284e-08,-1.06880078037265e-08,-3.67868289601598e-09,-3.953797302717e-08,77,-148,-1.26448169307051e-15
1.06604318264718e-07,-1.78131076475326e-08,-6.13105601446616e-09,-6.58957385850908e-08,77,-148,-3.51241457640254e-15
3.19812959160668e-07,-5.34357327050401e-08,-1.83919323773247e-08,-1.97673932804114e-07,77,-148,-3.16101081886159e-14
5.33021600056617e-07,-8.90535516192039e-08,-3.06511545943931e-08,-3.2943434382213e-07,77,-148,-8.78015051998638e-14
1.59906480453636e-06,-2.67069741986208e-07,-9.19221757101323e-08,-9.87966551707578e-07,77,-148,-7.9000822904543e-13
2.66510800901611e-06,-4.44962444477043e-07,-1.53150702605162e-07,-1.64604145429234e-06,77,-148,-2.19391134142083e-12
7.99532403141485e-06,-1.33247259121821e-06,-4.58621358015416e-07,-4.92917074112984e-06,77,-148,-1.9718072452441e-11
1.33255400538136e-05,-2.21648174296389e-06,-7.62888108450804e-07,-8.19928814300565e-06,77,-148,-5.46954441775229e-11
3.99766201658073e-05,-6.5717033712313e-06,-2.26195268300744e-06,-2.43077204414534e-05,77,-148,-4.87969742408368e-10
6.6627700277801e-05,-1.07898972992173e-05,-3.71398655698507e-06,-3.99019460007265e-05,77,-148,-1.34134781481185e-09
0.000142286977264033,-2.17219316204597e-05,-7.47854461552499e-06,-8.02401552680573e-05,77.0000000000003,-148.000000000001,-5.89070966116778e-09
0.000217946254250266,-3.05497567866764e-05,-1.05221658287422e-05,-0.000112622931284486,77.000000000001,-148.000000000003,-1.3087809978656e-08
0.000316009852321727,-4.10022546005969e-05,-1.53261354894002e-05,-0.000163416642026704,77.0000000000028,-148.000000000008,-2.6625468301877e-08
0.000414073450393189,-4.83144422122092e-05,-1.98118230416084e-05,-0.000210134531915332,77.0000000000061,-148.000000000017,-4.48757199564056e-08
0.000579446800382535,-6.90747731652367e-05,-2.66769427508513e-05,-0.000279476254805279,77.000000000016,-148.000000000043,-8.53743463612884e-08
0.00074482015037188,-8.72921141597409e-05,-3.27125690213373e-05,-0.000337036549111457,77.0000000000333,-148.000000000089,-1.36031797209458e-07
0.0010221666995042,-0.000112403814564785,-4.10817821686043e-05,-0.000407769845356487,77.0000000000824,-148.000000000219,-2.3937744571318e-07
0.00129951324863652,-0.000131309705878862,-4.74800081121764e-05,-0.000448662610577226,77.0000000001628,-148.000000000434,-3.56782680244447e-07
0.00179674835558465,-0.000151344008569498,-5.45622755308955e-05,-0.000457258233969212,77.0000000003971,-148.00000000107,-5.82222004340582e-07
0.00229398346253277,-0.000157224305914465,-5.71019656233167e-05,-0.000408055871618032,77.0000000007618,-148.000000002065,-7.9263493026844e-07
0.00297220301785468,-0.000154243905756585,-5.6728963333304e-05,-0.000265871557216939,77.0000000014765,-148.00000000402,-1.02130783881802e-06
0.00297439456246157,-0.000154223188352363,-5.67223071752852e-05,-0.000265295814728518,77.0000000014792,-148.000000004028,-1.0218898773161e-06
0.00297658610706846,-0.000154202526404121,-5.67156944371775e-05,-0.0002647198608097,77.0000000014819,-148.000000004035,-1.02247065373766e-06
0.00298754383010292,-0.000154100011002462,-5.66832673797952e-05,-0.000261836931094783,77.0000000014956,-148.000000004072,-1.02535558590357e-06
0.00299850155313737,-0.000153998727561829,-5.66518653354452e-05,-0.000258948766899739,77.0000000015093,-148.00000000411,-1.02820888920407e-06
0.00305329016830964,-0.000153506059971436,-5.65083637801594e-05,-0.000244431682874606,77.0000000015791,-148.000000004301,-1.0419986959015e-06
0.00310807878348191,-0.000153024538938664,-5.63826773482946e-05,-0.000229795991720663,77.0000000016505,-148.000000004496,-1.05498876756732e-06
0.00338202185934326,-0.000150171830484491,-5.57692423630591e-05,-0.000155637436224625,77.0000000020323,-148.000000005539,-1.10777817131748e-06
0.00365596493520461,-0.000145012719130756,-5.4503936241186e-05,-8.34654753289973e-05,77.0000000024548,-148.000000006692,-1.14061783203294e-06
0.00406174518219166,-0.000129728088184082,-4.98798892881209e-05,8.14144920681613e-06,77.0000000031532,-148.000000008592,-1.15578764876498e-06
0.00446752542917871,-9.9762042031108e-05,-3.93944917860235e-05,6.20158644646683e-05,77.0000000039267,-148.000000010687,-1.1440677183981e-06
0.00507567634692583,-2.52111624034203e-05,-1.14580607653251e-05,6.29318812696306e-05,77.0000000051891,-148.000000014087,-1.10605824746579e-06
0.00568382726467296,6.33546673264977e-05,2.21538715725203e-05,6.02918197463743e-05,77.0000000064666,-148.000000017511,-1.06894410192318e-06
0.00629197818242008,0.000133698067350813,4.89820505294645e-05,0.000111714551353847,77.0000000076871,-148.000000020766,-1.01676809178072e-06
0.00690012910016721,0.000135147691251075,5.03845041173854e-05,0.000191489292172109,77.0000000087541,-148.000000023604,-9.21739826001233e-07
0.00750828001791434,7.05002888176563e-05,2.76291061583132e-05,0.000189712808377565,77.000000009673,-148.000000026045,-8.05450253486172e-07
0.00811643093566146,9.6505973674014e-06,4.41719115395618e-06,0.000104067306492184,77.0000000105066,-148.000000028264,-7.24494615445262e-07
0.00859994460133454,-1.47958474780859e-06,-2.14193265511608e-06,3.20965170925568e-05,77.0000000111345,-148.000000029937,-6.9200380489306e-07
0.00908345826700761,5.29274390811988e-05,1.49036992488334e-05,8.03374187783489e-05,77.0000000117459,-148.000000031551,-6.55277346632056e-07
