TIME,VX,VY,R,Fz_1,Fz_2,Fz_3,Fz_4,omega_1,omega_2,omega_3,omega_4,slip_1,slip_2,slip_3,slip_4,TAU_1,TAU_2,TAU_3,TAU_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.74540024354647e-30,-3.98173409538667e-56,7.36256040943697e-46,-8.83507249105345e-46,0,0,0,0,0,0,0,0,2.8637780203507e-44,-1.17624723405459e-43,9.27682611620338e-44,-9.27682611500886e-44,1.15868696706276e-43,2.02509696797079e-44,-3.22480145926837e-43,-3.22480145926837e-43
4.36651296554905e-15,-1.61724694106352e-29,5.17649281900405e-30,4.33255894132729e-30,1.41248207273397e-30,1.41248207273397e-30,7.24279079336605e-28,7.24279079336605e-28,0,0,0,0,2.58417667663017e-27,3.3357429763384e-27,1.97095172275592e-27,2.88078910043465e-27,-2.2433769118921e-28,-1.2413879041229e-28,2.6334022306794e-28,2.6334022306794e-28
8.7330259310981e-15,-6.46898776424798e-29,1.95868598434041e-29,1.8673169484404e-29,5.64992830454621e-30,5.64992830454621e-30,2.89711631735812e-27,2.89711631735812e-27,0,5.44709986254408e-54,5.44709986254408e-54,5.44709986254408e-54,1.02884658597218e-26,1.35211912123105e-26,7.74279885050956e-27,1.16641644422344e-26,-1.0722397752033e-27,-5.30484852149208e-28,1.54353169974634e-27,1.54353169974634e-27
3.05655907588433e-14,-7.92451001116234e-28,2.30146808045313e-28,2.40496996224911e-28,6.92116226566424e-29,6.92116226566424e-29,3.5489674888433e-26,3.5489674888433e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,5.08394893552868e-24,5.12553134744306e-24,5.05195280172097e-24,5.1024571709282e-24,-1.46652160875776e-26,-6.79532423067186e-27,2.31972578871818e-26,2.31972578871818e-26
5.23981555865885e-14,-2.32883559510539e-27,6.71553611377885e-28,7.12522113004563e-28,2.03397424300708e-28,2.03397424300708e-28,1.04296187429481e-25,1.04296187429481e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,1.57948759246232e-23,1.59180478419279e-23,1.5700448896481e-23,1.5850078540212e-23,-4.38473022202856e-26,-2.01153453921788e-26,7.02722654144123e-26,7.02722654144123e-26
1.61560979725315e-13,-2.21401106223309e-26,6.34129045487187e-27,6.82566704735036e-27,1.9336881427582e-27,1.9336881427582e-27,9.91538059771029e-25,9.91538059771029e-25,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,1.53908508658333e-22,1.55088225384993e-22,1.53007220745497e-22,1.54440610825441e-22,-4.23594380180158e-25,-1.92543177940563e-25,6.86966523133305e-25,6.86966523133305e-25
2.70723803864041e-13,-6.21669724105872e-26,1.77821986761031e-26,1.9193844232101e-26,5.42958195789149e-27,5.42958195789149e-27,2.78412878171817e-24,2.78412878171817e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,4.32953804364756e-22,4.36271061371385e-22,4.30421144878902e-22,4.34451852167643e-22,-1.19306920361266e-24,-5.41350555047407e-25,1.93919281428878e-24,1.93919281428878e-24
8.16537924557671e-13,-5.65535082710918e-25,1.61554310432213e-25,1.74860213894473e-25,4.93931100908982e-26,4.93931100908982e-26,2.53273151463773e-23,2.53273151463773e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,3.94215522709428e-21,3.97237511755694e-21,3.91909804942078e-21,3.95581869433862e-21,-1.08863595017772e-23,-4.93108060846635e-24,1.77333047698415e-23,1.77333047698415e-23
1.3623520452513e-12,-1.57429286180525e-24,4.49605706565588e-25,4.86902389745252e-25,1.37496767437872e-25,1.37496767437872e-25,7.05042227957106e-23,7.05042227957106e-23,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,1.09746482225258e-20,1.10587956331975e-20,1.0910453759466e-20,1.10127032613125e-20,-3.03228434322893e-23,-1.37302992738246e-23,4.94157175540224e-23,4.94157175540224e-23
4.09142264871946e-12,-1.41989267821352e-23,4.05405195087831e-24,4.39275035964338e-24,1.24011856828264e-24,1.24011856828264e-24,6.35894581667422e-22,6.35894581667422e-22,1.92957972063237e-21,1.92957972063237e-21,1.92957972063237e-21,1.92957972063237e-21,9.89864867410537e-20,9.97456450536874e-20,9.84074143433703e-20,9.93298919188954e-20,-2.73653167434104e-22,-1.23868721718168e-22,4.46152293682663e-22,4.46152293682663e-22
