TIME,VX,VY,R,Fz_1,Fz_2,Fz_3,Fz_4,omega_1,omega_2,omega_3,omega_4,slip_1,slip_2,slip_3,slip_4,TAU_1,TAU_2,TAU_3,TAU_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.74540024354647e-30,-3.82939468138463e-56,7.36256040921929e-46,-8.83507249128921e-46,0,0,0,0,0,0,0,0,1.1627874561761e-44,-3.84775364016195e-45,9.27682611642807e-45,-9.27682611527925e-45,2.69245362196152e-45,1.12982992186333e-44,-3.2248014592923e-44,-3.2248014592923e-44
4.36651296554905e-15,-1.54464492882504e-29,-3.44320876394793e-30,-4.98906982069674e-30,0,0,7.83263759006277e-28,7.83263759006277e-28,0,0,0,0,3.23887540735644e-28,2.3508534080473e-28,2.84081972441072e-28,1.7931150620644e-28,1.63158121690944e-29,3.68004959376497e-29,-6.80895442375029e-29,-6.80895442375029e-29
8.7330259310981e-15,-6.17857971529434e-29,-1.48919464883714e-29,-1.8613345563657e-29,0,0,3.13305503603788e-27,3.13305503603788e-27,0,6.40295500922355e-54,6.40295500922355e-54,6.40295500922355e-54,1.27787575806791e-27,9.46189960512685e-28,1.12222708571255e-27,7.31346828875753e-28,6.11707109414711e-29,1.30028534404847e-28,-2.23341096202198e-28,-2.23341096202198e-28
3.05655907588433e-14,-7.56876015119599e-28,-1.92218569516728e-28,-2.16262813111447e-28,0,0,3.83799241923331e-26,3.83799241923331e-26,1.16287882455929e-25,1.16287882455929e-25,1.16287882455929e-25,1.16287882455929e-25,5.5981477350849e-25,5.5595744875743e-25,5.57956880802535e-25,5.53415361727195e-25,7.13531503849414e-28,1.44258186467776e-27,-2.30702897192382e-27,-2.30702897192382e-27
5.23981555865885e-14,-2.22428869748315e-27,-5.696834165533e-28,-6.29792428711865e-28,0,0,1.12789981302373e-25,1.12789981302373e-25,3.61784523194466e-25,3.61784523194466e-25,3.61784523194466e-25,3.61784523194466e-25,1.73889912873741e-24,1.72766413009058e-24,1.73345753640728e-24,1.72023189540433e-24,2.07936946182623e-27,4.16582375816338e-27,-6.56976704078526e-27,-6.56976704078526e-27
1.61560979725315e-13,-2.11461890748233e-26,-5.45908101174771e-27,-5.93564272738289e-27,0,0,1.07228808625341e-24,1.07228808625341e-24,3.52739910105417e-24,3.52739910105417e-24,3.52739910105417e-24,3.52739910105417e-24,1.69425327667131e-23,1.68366288744556e-23,1.68909508424045e-23,1.67663023451295e-23,1.96107167273463e-26,3.89423616729961e-26,-6.05692102809738e-26,-6.05692102809738e-26
2.70723803864041e-13,-5.9376151060315e-26,-1.53519342066886e-26,-1.66384967268746e-26,0,0,3.01086589043701e-24,3.01086589043701e-24,9.92323263568282e-24,9.92323263568282e-24,9.92323263568282e-24,9.92323263568282e-24,4.76598528402283e-23,4.73629791808123e-23,4.7515094194181e-23,4.71656857629167e-23,5.49789931179537e-26,1.08986113664913e-25,-1.69044908344661e-25,-1.69044908344661e-25
8.16537924557671e-13,-5.40146885056165e-25,-1.39868034163628e-25,-1.51107822221582e-25,0,0,2.7389950411677e-23,2.7389950411677e-23,9.0355684651346e-23,9.0355684651346e-23,9.0355684651346e-23,9.0355684651346e-23,4.33951749697604e-22,4.31255514099448e-22,4.32635561596593e-22,4.2946229732994e-22,4.99374311897525e-25,9.88213084682352e-25,-1.52856722086356e-24,-1.52856722086356e-24
1.3623520452513e-12,-1.50361915903443e-24,-3.89470524056864e-25,-4.2050224017493e-25,0,0,7.62460274623496e-23,7.62460274623496e-23,2.51543610549198e-22,2.51543610549198e-22,2.51543610549198e-22,2.51543610549198e-22,1.2080858072656e-21,1.20058268789111e-21,1.20442227996616e-21,1.19559173292249e-21,1.38969285859978e-24,2.74912040722257e-24,-4.24999590334536e-24,-4.24999590334536e-24
4.09142264871946e-12,-1.35615036219269e-23,-3.51377882082218e-24,-3.79135071493866e-24,0,0,6.87681302136392e-22,6.87681302136392e-22,2.26881534714451e-21,2.26881534714451e-21,2.26881534714451e-21,2.26881534714451e-21,1.08963885003534e-20,1.0828738134567e-20,1.08633496309262e-20,1.07837312659125e-20,1.25301340047301e-23,2.4778862280464e-23,-3.82857348461953e-23,-3.82857348461953e-23
6.82049325218761e-12,-3.76869265567086e-23,-9.76524685882424e-24,-1.05353264934337e-23,0,0,1.91104139612355e-21,1.91104139612355e-21,6.30497392616516e-21,6.30497392616516e-21,6.30497392616516e-21,6.30497392616516e-21,3.02807451889732e-20,3.00927595309731e-20,3.01889332338992e-20,2.99676913775371e-20,3.48186558233631e-23,6.88506128912302e-23,-1.06369132960045e-22,-1.06369132960045e-22
2.04658462695284e-11,-3.39327117467071e-22,-8.79299829492214e-23,-9.48521147065543e-23,0,0,1.72067143406549e-20,1.72067143406549e-20,5.67690693168017e-20,5.67690693168017e-20,5.67690693168017e-20,5.67690693168017e-20,2.72643337888613e-19,2.70950855086718e-19,2.71816694354568e-19,2.69824799945731e-19,3.13482474226341e-22,6.19839495470197e-22,-9.57501008718981e-22,-9.57501008718981e-22
3.41111992868691e-11,-9.42655766715757e-22,-2.44273711674203e-22,-2.63497084546122e-22,0,0,4.78005085276768e-20,4.78005085276768e-20,1.57705335189399e-19,1.57705335189399e-19,1.57705335189399e-19,1.57705335189399e-19,7.57407277697381e-19,7.52705596623798e-19,7.55110859004812e-19,7.49577420229343e-19,8.70848306246589e-22,1.72187859016948e-21,-2.65982435399388e-21,-2.65982435399388e-21
1.02337964373573e-10,-8.48462578279856e-21,-2.19867721754734e-21,-2.37164462872516e-21,0,0,4.30241321212503e-19,4.30241321212503e-19,1.41946920417597e-18,1.41946920417597e-18,1.41946920417597e-18,1.41946920417597e-18,6.81724709882309e-18,6.77492890999906e-18,6.79657765090096e-18,6.74677311369774e-18,7.83820757338865e-21,1.54978270532513e-20,-2.39393128261936e-20,-2.39393128261936e-20
1.70564729460277e-10,-2.35688068249763e-20,-6.10755542724328e-21,-6.58799659271088e-21,0,0,1.19513525991741e-18,1.19513525991741e-18,3.94303726287748e-18,3.94303726287748e-18,3.94303726287748e-18,3.94303726287748e-18,1.89371202502801e-17,1.88195680276672e-17,1.88797041846928e-17,1.87413562562459e-17,2.17731167815423e-20,4.30500300296064e-20,-6.64985868164118e-20,-6.64985868164118e-20
5.11698554893796e-10,-2.12122864272847e-19,-5.49690636242473e-20,-5.92928190328005e-20,0,0,1.07564047327878e-17,1.07564047327878e-17,3.54879382013799e-17,3.54879382013799e-17,3.54879382013799e-17,3.54879382013799e-17,1.7043697539315e-16,1.69378990176628e-16,1.6992022244475e-16,1.68675073245061e-16,1.9596089978529e-19,3.87454838583158e-19,-5.98491702423503e-19,-5.98491702423503e-19
8.52832380327315e-10,-5.89232143327661e-19,-1.52692425411588e-19,-1.64702736861238e-19,0,0,2.98790142258852e-17,2.98790142258852e-17,9.85779348409913e-17,9.85779348409914e-17,9.85779348409913e-17,9.85779348409914e-17,4.73437620369663e-16,4.70498764277829e-16,4.72002190959221e-16,4.68543433485136e-16,5.44337381386756e-19,1.07626591125165e-18,-1.6624793034959e-18,-1.6624793034959e-18
2.55850150749491e-09,-5.30310521839785e-18,-1.37423661210039e-18,-1.48232829721041e-18,0,0,2.68912523125074e-16,2.68912523125074e-16,8.87204078464034e-16,8.87204078464041e-16,8.87204078464037e-16,8.87204078464044e-16,4.26095137158161e-15,4.23450160109337e-15,4.24803247017823e-15,4.21690357593685e-15,4.89904874933553e-18,9.68641223290013e-18,-1.49623299515441e-17,-1.49623299515441e-17
4.26417063466251e-09,-1.47308520779446e-17,-3.81732538788873e-18,-4.11757935391062e-18,0,0,7.46981016243803e-16,7.46981016243803e-16,2.46445648439113e-15,2.46445648439118e-15,2.46445648439115e-15,2.4644564843912e-15,1.18359794405398e-14,1.1762507842315e-14,1.18000935941204e-14,1.17136244276885e-14,1.36084713412608e-17,2.69067028177714e-17,-4.15620236755238e-17,-4.15620236755238e-17
1.27925162705005e-08,-1.3257748760252e-16,-3.43558848399898e-17,-3.70581596298754e-17,0,0,6.72289338624591e-15,6.72289338624593e-15,2.21800780618267e-14,2.21800780618307e-14,2.21800780618283e-14,2.21800780618331e-14,1.06523669403155e-13,1.05862425991314e-13,1.06200697237028e-13,1.05422475884823e-13,1.22476062780619e-16,2.42159944259555e-16,-3.74057558517164e-16,-3.74057558517164e-16
2.13208619063385e-08,-3.68270123265382e-16,-9.54328401842568e-17,-1.02939141266575e-16,0,0,1.86748658248733e-14,1.86748658248735e-14,6.16112149169609e-14,6.16112149169907e-14,6.16112149169731e-14,6.16112149170082e-14,2.95898538788244e-13,2.94061754941278e-13,2.9500139553407e-13,2.92839673567636e-13,3.40210654686671e-16,6.72665249802245e-16,-1.03904678763396e-15,-1.03904678763396e-15
6.39625900855284e-08,-3.31439760999003e-15,-8.58886897081319e-16,-9.26442887934833e-16,0,0,1.6808127157949e-13,1.68081271579501e-13,5.5449532982274e-13,5.54495329825273e-13,5.54495329823785e-13,5.54495329826767e-13,2.66305993259077e-12,2.64652904540509e-12,2.65498572496536e-12,2.63553042433269e-12,3.06186488504624e-15,6.05392580786192e-15,-9.35132585421622e-15,-9.35132585421622e-15
1.06604318264718e-07,-9.20656953378281e-15,-2.38577349501585e-15,-2.57342716053505e-15,0,0,4.66912361256777e-13,4.6691236125686e-13,1.54024966546857e-12,1.54024966548722e-12,1.54024966547618e-12,1.54024966549814e-12,7.39731599097422e-12,7.35139731149765e-12,7.37488785694893e-12,7.32084588668046e-12,8.50509660294656e-15,1.68162951437925e-14,-2.59756494276035e-14,-2.59756494276035e-14
3.19812959160668e-07,-8.2854883297331e-14,-2.14708621431614e-14,-2.31596584679721e-14,0,0,4.20314331792411e-12,4.20314331793111e-12,1.38615372189715e-11,1.38615372205547e-11,1.38615372196249e-11,1.38615372214881e-11,6.65724351230616e-11,6.61591881762063e-11,6.63705922534551e-11,6.58842394343493e-11,7.65419497465268e-14,1.5133890565733e-13,-2.3376887108391e-13,-2.3376887108391e-13
5.33021600056617e-07,-2.30141107699218e-13,-5.96383436271187e-14,-6.43292131124066e-14,0,0,1.16778887204203e-11,1.16778887204718e-11,3.85023718817542e-11,3.85023718934102e-11,3.85023718865165e-11,3.85023719002344e-11,1.84914314602361e-10,1.83766463041244e-10,1.84353667609617e-10,1.83002754198469e-10,2.1260604485476e-13,4.20365123356457e-13,-6.49325960290978e-13,-6.49325960290978e-13
1.59906480453636e-06,-2.07073889856676e-12,-5.36607473264824e-13,-5.78814466077008e-13,0,0,1.0521744669539e-10,1.05217446699758e-10,3.46432498100923e-10,3.464324990899e-10,3.46432498509546e-10,3.4643249967348e-10,1.66380211952814e-09,1.65347410849464e-09,1.65875759107706e-09,1.64660249273771e-09,1.91296371933327e-12,3.78231594218475e-12,-5.84243508687584e-12,-5.84243508687584e-12
2.66510800901611e-06,-5.75063161708125e-12,-1.49020811552404e-12,-1.60742076434223e-12,0,0,2.92581766865855e-10,2.92581766898003e-10,9.62074777198989e-10,9.62074784478066e-10,9.62074780181562e-10,9.62074788748351e-10,4.62053087478529e-09,4.59184906376219e-09,4.60652176038383e-09,4.572765964433e-09,5.31247510134386e-12,1.0503837178349e-11,-1.62249766113531e-11,-1.62249766113531e-11
7.99532403141485e-06,-5.16889968653209e-11,-1.339459227743e-11,-1.44481424429514e-11,1.10310528080181e-12,1.10310800362013e-12,2.64776294015434e-09,2.64776294287715e-09,8.6475155251924e-09,8.64751614174642e-09,8.64751578411876e-09,8.64751650974487e-09,4.15324961266934e-08,4.12746950818976e-08,4.14052731111368e-08,4.11018655164245e-08,4.77506220068312e-11,9.4412643278427e-11,-1.45836534469384e-10,-1.45836534469384e-10
1.33255400538136e-05,-1.4340139100549e-10,-3.71607775224515e-11,-4.00836315835006e-11,4.82056994962304e-11,4.82057195051494e-11,7.39363413881299e-09,7.3936341588213e-09,2.39909003585225e-08,2.39909048895034e-08,2.39909022657146e-08,2.3990907598253e-08,1.15224074904068e-07,1.14508867965544e-07,1.14871120770383e-07,1.14029389468255e-07,1.32474869132879e-10,2.61929681903316e-10,-4.04595495167242e-10,-4.04595495167242e-10
3.8248948088766e-05,-1.17426120796009e-09,-3.04296209331724e-10,-3.28228184037371e-10,2.17292447539723e-09,2.17292585546245e-09,6.24390672556428e-08,6.24390686357488e-08,1.96452303919316e-07,1.96452616532491e-07,1.96452440706535e-07,1.96452808622707e-07,9.43525859167101e-07,9.37670614202775e-07,9.40635902761478e-07,9.33744833078038e-07,1.08476427647912e-09,2.14480442577962e-09,-3.31303327692104e-09,-3.31303327692104e-09
6.31723561237184e-05,-3.18361389756683e-09,-8.24998111291612e-10,-8.89870650591346e-10,1.05890048936475e-08,1.05890146850409e-08,1.74321377913371e-07,1.7432138770394e-07,5.32612408666747e-07,5.32614626513499e-07,5.32613428306588e-07,5.32616038500741e-07,2.55804362910574e-06,2.54217567609648e-06,2.55020986342088e-06,2.53153479782501e-06,2.94085536313767e-09,5.81470944164129e-09,-8.98192394481812e-09,-8.98192394481812e-09
