TIME,VX,VY,R,Fz_1,Fz_2,Fz_3,Fz_4,omega_1,omega_2,omega_3,omega_4,slip_1,slip_2,slip_3,slip_4,TAU_1,TAU_2,TAU_3,TAU_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.74540024354647e-30,-3.93792406783053e-56,7.36256040924177e-46,-8.83507249126404e-46,0,0,0,0,0,0,0,0,1.12978521112524e-44,-5.43520545501389e-45,9.27682611641793e-45,-9.27682611523655e-45,3.84906625056592e-45,1.06261618173658e-44,-3.22480145928964e-44,-3.22480145928964e-44
4.36651296554905e-15,-1.58894872364835e-29,-2.53517897805171e-30,-3.97401395851194e-30,0,0,7.83263759006277e-28,7.83263759006277e-28,0,0,0,0,3.0478392742634e-28,2.28984315166107e-28,2.80069455111628e-28,1.96615161982877e-28,1.74220607043025e-29,3.13301174518494e-29,-5.73486503335109e-29,-5.73486503335109e-29
8.7330259310981e-15,-6.35579489458741e-29,-1.12598273447899e-29,-1.45531221149216e-29,0,0,3.13305503603788e-27,3.13305503603788e-27,0,6.40295500922355e-54,6.40295500922355e-54,6.40295500922355e-54,1.20196293996419e-27,9.2419878956884e-28,1.10617701639479e-27,8.00561451981435e-28,6.38376503516193e-29,1.0916867136597e-28,-1.8037752058627e-28,-1.8037752058627e-28
3.05655907588433e-14,-7.78584874582887e-28,-1.47725110008087e-28,-1.66525075864699e-28,0,0,3.83799241923331e-26,3.83799241923331e-26,1.16287882455929e-25,1.16287882455929e-25,1.16287882455929e-25,1.16287882455929e-25,5.58889230794142e-25,5.55709170064962e-25,5.57760267453394e-25,5.54263240860235e-25,7.30818532730186e-28,1.19598798786546e-27,-1.78072517063146e-27,-1.78072517063146e-27
5.23981555865885e-14,-2.288086162028e-27,-4.38927127385708e-28,-4.8362438455889e-28,0,0,1.12789981302373e-25,1.12789981302373e-25,3.61784523194466e-25,3.61784523194466e-25,3.61784523194466e-25,3.61784523194466e-25,1.7361813163397e-24,1.72694483588493e-24,1.73287973391184e-24,1.72272362183611e-24,2.12263763867074e-27,3.44551821590034e-27,-5.02307831862773e-27,-5.02307831862773e-27
1.61560979725315e-13,-2.17527080259317e-26,-4.21598823490231e-27,-4.5460312521039e-27,0,0,1.07228808625341e-24,1.07228808625341e-24,3.52739910105417e-24,3.52739910105417e-24,3.52739910105417e-24,3.52739910105417e-24,1.69167140090925e-23,1.68298835828093e-23,1.68854577061807e-23,1.67899910498865e-23,1.99543065213997e-26,3.21338330284575e-26,-4.58649265269589e-26,-4.58649265269589e-26
2.70723803864041e-13,-6.10791889332163e-26,-1.18614677099222e-26,-1.27366219928806e-26,0,0,3.01086589043701e-24,3.01086589043701e-24,9.92323263568282e-24,9.92323263568282e-24,9.92323263568282e-24,9.92323263568282e-24,4.75873671427091e-23,4.73440896919343e-23,4.74996700775676e-23,4.72322010157171e-23,5.59069309915174e-26,8.98899206267342e-26,-1.27756912180302e-25,-1.27756912180302e-25
8.16537924557671e-13,-5.55639479064926e-25,-1.08115140586776e-25,-1.1561233378372e-25,0,0,2.7389950411677e-23,2.7389950411677e-23,9.0355684651346e-23,9.0355684651346e-23,9.0355684651346e-23,9.0355684651346e-23,4.33292439380524e-22,4.31084130627565e-22,4.32495247878127e-22,4.30067388868669e-22,5.07484387102372e-25,8.14686950322799e-25,-1.15296890200764e-24,-1.15296890200764e-24
1.3623520452513e-12,-1.54674624505344e-24,-3.01079272606859e-25,-3.21692642358021e-25,0,0,7.62460274623496e-23,7.62460274623496e-23,2.51543610549198e-22,2.51543610549198e-22,2.51543610549198e-22,2.51543610549198e-22,1.20625052246234e-21,1.20010585544152e-21,1.20403168547937e-21,1.19727613998985e-21,1.41208573269018e-24,2.26617829932859e-24,-3.20443432748964e-24,-3.20443432748964e-24
4.09142264871946e-12,-1.39504772059198e-23,-2.71655681850633e-24,-2.90016313554147e-24,0,0,6.87681302136392e-22,6.87681302136392e-22,2.26881534714451e-21,2.26881534714451e-21,2.26881534714451e-21,2.26881534714451e-21,1.08798360951281e-20,1.08244397323104e-20,1.08598267651025e-20,1.07989233392561e-20,1.27304507964633e-23,2.04240498238646e-23,-2.88555629754002e-23,-2.88555629754002e-23
