TIME,AX,AY,AngACC,X,Y,R,PSI
0,0,1.30673615416864e-17,-1.53776449275335e-16,77,-148,0,1.5707963267949
5.74540024354647e-30,-9.76494907907237e-31,1.30673615416862e-17,-1.53776449275337e-16,77,-148,-8.83507249126404e-46,1.5707963267949
4.36651296554905e-15,-7.4213762234461e-16,-1.31475946475086e-16,-1.66644668523315e-15,77,-148,-3.97401395851194e-30,1.5707963267949
8.7330259310981e-15,-1.48427524468718e-15,-2.76019254491461e-16,-3.1791169211868e-15,77,-148,-1.45531221149216e-29,1.5707963267949
3.05655907588433e-14,-5.19496335636951e-15,-9.98735794567383e-16,-1.07424681008928e-14,77,-148,-1.66525075864699e-28,1.5707963267949
5.23981555865885e-14,-8.90565146800093e-15,-1.7214523346334e-15,-1.83058192804951e-14,77,-148,-4.8362438455889e-28,1.5707963267949
1.61560979725315e-13,-2.74590920253945e-14,-5.33503503481475e-15,-5.61225751769502e-14,77,-148,-4.5460312521039e-27,1.5707963267949
2.70723803864041e-13,-4.60125325815155e-14,-8.94861773474825e-15,-9.39393310708116e-14,77,-148,-1.27366219928806e-26,1.5707963267949
8.16537924557671e-13,-1.38779735343032e-13,-2.7016531230698e-14,-2.83023110501211e-13,77,-148,-1.1561233378372e-25,1.5707963267949
1.3623520452513e-12,-2.31546938072735e-13,-4.50844447204514e-14,-4.72106889866765e-13,77,-148,-3.21692642358021e-25,1.5707963267949
4.09142264871946e-12,-6.95382951244037e-13,-1.35424012076273e-13,-1.41752578572185e-12,77,-148,-2.90016313554147e-24,1.5707963267949
6.82049325218761e-12,-1.15921896361999e-12,-2.25763579277189e-13,-2.36294467995581e-12,77,-148,-8.05874854239519e-24,1.5707963267949
2.04658462695284e-11,-3.47839901356947e-12,-6.77461412958153e-13,-7.09003912680861e-12,77,-148,-7.25533991017179e-23,1.5707963267949
3.41111992868691e-11,-5.79757904363516e-12,-1.12915924276642e-12,-1.1817133533133e-11,77,-148,-2.01550921763262e-22,1.5707963267949
1.02337964373573e-10,-1.73934788957068e-11,-3.38764833371746e-12,-3.545260495683e-11,77,-148,-1.8140815941043e-21,1.5707963267949
1.70564729460277e-10,-2.89893782506836e-11,-5.6461373278512e-12,-5.90880753673175e-11,77,-148,-5.03918397655893e-21,1.5707963267949
5.11698554893796e-10,-8.69688675691439e-11,-1.69385808462609e-11,-1.77265412221619e-10,77,-148,-4.53532687280344e-20,1.5707963267949
8.52832380327315e-10,-1.44948344460226e-10,-2.82310219442375e-11,-2.95442723745675e-10,77,-148,-1.259816346771e-19,1.5707963267949
2.55850150749491e-09,-4.34845542504681e-10,-8.46931911275715e-11,-8.86328901411727e-10,77,-148,-1.13383733082294e-18,1.5707963267949
4.26417063466251e-09,-7.2474242986354e-10,-1.41155299799862e-10,-1.47721444581933e-09,77,-148,-3.14954861249824e-18,1.5707963267949
1.27925162705005e-08,-2.17422220633946e-09,-4.23464935488973e-10,-4.43163266890757e-09,77,-148,-2.83458948580008e-17,1.5707963267949
2.13208619063385e-08,-3.62369421553398e-09,-7.0577305837455e-10,-7.38603506023522e-09,77,-148,-7.87384501879039e-17,1.5707963267949
6.39625900855284e-08,-1.08709377479802e-08,-2.11729097991528e-09,-2.21578095313693e-08,77,-148,-7.08638869626977e-16,1.5707963267949
1.06604318264718e-07,-1.81179870807034e-08,-3.52877107794055e-09,-3.69291881711211e-08,77,-148,-1.96842194535407e-15,1.5707963267949
3.19812959160668e-07,-5.43503202104224e-08,-1.05856041110835e-08,-1.10780142762446e-07,77,-148,-1.77148903278485e-14,1.5707963267949
5.33021600056617e-07,-9.0577796136781e-08,-1.76414911280804e-08,-1.84621196899715e-07,77,-148,-4.92056027697277e-14,1.5707963267949
1.59906480453636e-06,-2.71642250531142e-07,-5.29067229528928e-08,-5.53677818833709e-07,77,-148,-4.42736873452068e-13,1.5707963267949
2.66510800901611e-06,-4.52584998998937e-07,-8.81482509275512e-08,-9.22486346659855e-07,77,-148,-1.22952083106757e-12,1.5707963267949
7.99532403141485e-06,-1.35546479716345e-06,-2.63998714095687e-07,-2.76278992137489e-06,77,-148,-1.10514262692545e-11,1.5707963267949
1.33255400538136e-05,-2.2552677431466e-06,-4.39249953581401e-07,-4.59681887720815e-06,77,-148,-3.06600865028901e-11,1.5707963267949
3.82490154359624e-05,-6.42096540545681e-06,-1.2505886677072e-06,-1.30874721310614e-05,77,-148,-2.51063559716458e-10,1.57079632679489
6.31724908181112e-05,-1.05159998051857e-05,-2.04816894321037e-06,-2.14337710837567e-05,77,-148,-6.80667428089396e-10,1.57079632679488
0.000115619631299707,-1.88927768775565e-05,-3.67971880926756e-06,-3.85050881800714e-05,77.0000000000001,-148,-2.25275205167354e-09,1.5707963267948
0.000168066771781303,-2.69235479337181e-05,-5.24393193430103e-06,-5.48671946149242e-05,77.0000000000003,-148.000000000001,-4.69519856873477e-09,1.57079632679461
0.000247297292111043,-3.8746912974519e-05,-7.54699730480697e-06,-7.89460147289652e-05,77.0000000000008,-148.000000000004,-9.99693884033703e-09,1.57079632679403
0.000326527812440782,-4.99938803570656e-05,-9.73803453123775e-06,-0.000101832601632336,77.0000000000018,-148.000000000009,-1.71430189401343e-08,1.57079632679293
0.000463497952068353,-6.81416850612835e-05,-1.3274182875637e-05,-0.000138706253822323,77.0000000000051,-148.000000000026,-3.36195287099965e-08,1.57079632678946
0.000600468091695924,-8.47781766786812e-05,-1.65171080522921e-05,-0.000172415777243323,77.0000000000109,-148.000000000056,-5.48555740221546e-08,1.5707963267833
0.000817808078925925,-0.000108304676638909,-2.1106256382236e-05,-0.000219851684060303,77.0000000000264,-148.000000000136,-9.74937699934984e-08,1.57079632676675
0.000821370915495312,-0.000108662598647769,-2.11761121210387e-05,-0.000220570507744679,77.0000000000267,-148.000000000137,-9.82783461858162e-08,1.57079632676641
0.0008249337520647,-0.000109019682271654,-2.12458056241126e-05,-0.000221287544573047,77.0000000000271,-148.000000000139,-9.90654791540253e-08,1.57079632676605
0.000842747934911638,-0.000110792595493593,-2.15918534906287e-05,-0.000224846064238333,77.0000000000288,-148.000000000148,-1.03039237776988e-07,1.57079632676425
0.000860562117758576,-0.000112544838960096,-2.19339022540028e-05,-0.000228360478704003,77.0000000000305,-148.000000000157,-1.07075860866408e-07,1.57079632676238
