TIME,AX,AY,AngACC,X,Y,R,PSI
0,0,1.30673615416864e-17,-1.53776449275335e-16,77,-148,0,1.5707963267949
5.74540024354647e-30,-9.873252783072e-31,1.30673615416867e-17,-1.53776449275332e-16,77,-148,-8.83507249105345e-46,1.5707963267949
4.36651296554905e-15,-7.553546453212e-16,2.28706964816617e-16,2.13822444038869e-15,77,-148,4.33255894132729e-30,1.5707963267949
8.7330259310981e-15,-1.51070929064033e-15,4.44346568090953e-16,4.43022533004639e-15,77,-148,1.8673169484404e-29,1.5707963267949
3.05655907588433e-14,-5.28748251720489e-15,1.52254458445375e-15,1.58902297782405e-14,77,-148,2.40496996224911e-28,1.5707963267949
5.23981555865885e-14,-9.06425574371763e-15,2.60074260080178e-15,2.73502342262777e-14,77,-148,7.12522113004563e-28,1.5707963267949
1.61560979725315e-13,-2.79481218755042e-14,7.99173268232003e-15,8.46502564641049e-14,77,-148,6.82566704735036e-27,1.5707963267949
2.70723803864041e-13,-4.68319880059956e-14,1.33827227634685e-14,1.41950278698002e-13,77,-148,1.9193844232101e-26,1.5707963267949
8.16537924557671e-13,-1.41251318639024e-13,4.03376731636645e-14,4.28450389808535e-13,77,-148,1.74860213894473e-25,1.5707963267949
1.3623520452513e-12,-2.35670649239672e-13,6.72926235546164e-14,7.14950500820814e-13,77,-148,4.86902389745252e-25,1.5707963267949
4.09142264871946e-12,-7.077673017572e-13,2.02067375370717e-13,2.14745105440842e-12,77,-148,4.39275035964338e-24,1.5707963267949
6.82049325218761e-12,-1.17986395346521e-12,3.36842126955712e-13,3.57995160553965e-12,77,-148,1.22079934752873e-23,1.5707963267949
2.04658462695284e-11,-3.54034719986253e-12,1.01071588141418e-12,1.07424543243508e-11,77,-148,1.09925135966958e-22,1.5707963267949
3.41111992868691e-11,-5.90083042602193e-12,1.68458963009508e-12,1.7904956981753e-11,77,-148,3.05377155981728e-22,1.5707963267949
1.02337964373573e-10,-1.770324625325e-11,5.05395828683634e-12,5.37174693476336e-11,77,-148,2.74866038480999e-21,1.5707963267949
1.70564729460277e-10,-2.95056615745293e-11,8.4233267991388e-12,8.95299801782959e-11,77,-148,7.6353154116473e-21,1.5707963267949
5.11698554893796e-10,-8.85177305916664e-11,2.52701671940597e-11,2.68592511303229e-10,77,-148,6.87191632544401e-20,1.5707963267949
8.52832380327315e-10,-1.47529786959971e-10,4.21170039779757e-11,4.47655004047316e-10,77,-148,1.90887288538783e-19,1.5707963267949
2.55850150749491e-09,-4.42589879065554e-10,1.2635113373151e-10,1.34296689204437e-09,77,-148,1.71799154388072e-18,1.5707963267949
4.26417063466251e-09,-7.37649654936156e-10,2.10585173205905e-10,2.23827782047603e-09,77,-148,4.77220054660132e-18,1.5707963267949
1.27925162705005e-08,-2.21294379033352e-09,6.31754016268491e-10,6.71481806780444e-09,77,-148,4.29497501756015e-17,1.5707963267949
2.13208619063385e-08,-3.68823001808594e-09,1.05292060185001e-09,1.11913343204546e-08,77,-148,1.19304644859303e-16,1.5707963267949
6.39625900855284e-08,-1.10645424883122e-08,3.15871965224919e-09,3.35735554948629e-08,77,-148,1.07373096506138e-15,1.5707963267949
1.06604318264718e-07,-1.84406570461282e-08,5.26446220279385e-09,5.59551761093522e-08,77,-148,2.98255667837787e-15,1.5707963267949
