TIME,VX,VY,R,Fz_1,Fz_2,Fz_3,Fz_4,omega_1,omega_2,omega_3,omega_4,slip_1,slip_2,slip_3,slip_4,TAU_1,TAU_2,TAU_3,TAU_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.74548004963942e-30,-4.2923870180575e-56,7.36266267841992e-46,-8.83519521420605e-46,0,0,0,0,0,0,0,0,1.0584339493651e-43,-7.41141613213595e-44,9.27695497556021e-44,-9.27695497427249e-44,5.51656491038258e-44,9.35583464046623e-44,-3.22484625317244e-43,-3.22484625317244e-43
4.36651296554905e-15,-1.74585760353494e-29,-3.88855428458021e-31,-1.66866106179378e-30,1.41248207273397e-30,1.41248207273397e-30,7.24279079336605e-28,7.24279079336605e-28,0,0,0,0,2.82153818086968e-27,2.47385405279336e-27,2.79399581679075e-27,2.44357699381406e-27,1.11396321057499e-28,1.34866127628432e-28,-3.42150340561804e-28,-3.42150340561804e-28
8.7330259310981e-15,-6.98343041413316e-29,-2.67453314642325e-30,-5.33171052805767e-30,5.64992830454621e-30,5.64992830454621e-30,2.89711631735812e-27,2.89711631735812e-27,0,5.44709986254408e-54,5.44709986254408e-54,5.44709986254408e-54,1.11338782507912e-26,1.0022876137995e-26,1.10349752266458e-26,9.91531601575368e-27,3.46965660192879e-28,4.10362565034351e-28,-8.78430554770353e-28,-8.78430554770353e-28
3.05655907588433e-14,-8.55470225726839e-28,-4.25552560786458e-29,-5.35627839262061e-29,6.92116226566424e-29,6.92116226566424e-29,3.5489674888433e-26,3.5489674888433e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,5.09339494309271e-24,5.08223284320671e-24,5.09228196232843e-24,5.08103377770392e-24,3.38740762702426e-27,3.89729939871068e-27,-6.47177973049259e-27,-6.47177973049259e-27
5.23981555865885e-14,-2.51403494906215e-27,-1.29856536247679e-28,-1.51653567435192e-28,2.03397424300708e-28,2.03397424300708e-28,1.04296187429481e-25,1.04296187429481e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,1.58221897619248e-23,1.57905857178497e-23,1.58189672460207e-23,1.57871199968593e-23,9.53217504574591e-27,1.08999939767599e-26,-1.69183757472944e-26,-1.69183757472944e-26
1.61560979725315e-13,-2.39007905914987e-26,-1.27767129561853e-27,-1.39000313661487e-27,1.9336881427582e-27,1.9336881427582e-27,9.91538059771029e-25,9.91538059771029e-25,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,1.54164170162786e-22,1.53874493701533e-22,1.54133968110189e-22,1.538420674515e-22,8.68208939159757e-26,9.86498330306365e-26,-1.41950058444789e-25,-1.41950058444789e-25
2.70723803864041e-13,-6.71107662756787e-26,-3.6109999858009e-27,-3.87484545845116e-27,5.42958195789149e-27,5.42958195789149e-27,2.78412878171817e-24,2.78412878171817e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,4.33669494400454e-22,4.32861974361649e-22,4.33584926376174e-22,4.32771208829899e-22,2.41717749076344e-25,2.74293615685773e-25,-3.88312912158144e-25,-3.88312912158144e-25
8.16537924557671e-13,-6.10508945261833e-25,-3.30603523955773e-26,-3.49964483540035e-26,4.93931100908982e-26,4.93931100908982e-26,2.53273151463773e-23,2.53273151463773e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,3.94864627274696e-21,3.94135296741552e-21,3.94787907833951e-21,3.94052982418517e-21,2.18032406901369e-24,2.47092168273508e-24,-3.44009474562425e-24,-3.44009474562425e-24
1.3623520452513e-12,-1.69948762504137e-24,-9.21475530620496e-26,-9.72803700516802e-26,1.37496767437872e-25,1.37496767437872e-25,7.05042227957106e-23,7.05042227957106e-23,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,1.09927066453952e-20,1.09724332757647e-20,1.09905721637301e-20,1.09701432860193e-20,6.0591337953147e-24,6.86489833880817e-24,-9.52515585309581e-24,-9.52515585309581e-24
