TIME,AX,AY,AngACC,X,Y,R
0,0,1.30673615416864e-17,-1.53776449275335e-16,77,-148,0
5.74548004963942e-30,-9.62342145004824e-31,1.30673615416867e-17,-1.53776449275331e-16,77,-148,-8.83519521401352e-46
4.36651296554905e-15,-7.3137134184563e-16,2.62074773031157e-16,2.52060594126177e-15,77,-148,5.16739583200155e-30
8.7330259310981e-15,-1.46274268368925e-15,5.11082184519942e-16,5.19498833179153e-15,77,-148,2.20125170470979e-29
3.05655907588433e-14,-5.11959939287728e-15,1.75611924195362e-15,1.85669002843302e-14,77,-148,2.81404003867698e-28
5.23981555865885e-14,-8.77645610201513e-15,3.00115629937023e-15,3.19388122366856e-14,77,-148,8.32738625260311e-28
1.61560979725315e-13,-2.70607396469519e-14,9.22634158619706e-15,9.87983719957106e-14,77,-148,7.96855875064065e-27
2.70723803864041e-13,-4.53450231906346e-14,1.54515268725969e-14,1.6565793175015e-13,77,-148,2.24029572396519e-26
8.16537924557671e-13,-1.36766440890237e-13,4.65774532981915e-14,4.99955730453558e-13,77,-148,2.04053625118804e-25
1.3623520452513e-12,-2.28187858558486e-13,7.77033797131116e-14,8.34253529042321e-13,77,-148,5.6816875200505e-25
4.09142264871946e-12,-6.85294946429445e-13,2.33333011627595e-13,2.50574252026645e-12,77,-148,5.12571126899678e-24
6.82049325218761e-12,-1.14240203351659e-12,3.88962643275216e-13,4.17723150862443e-12,77,-148,1.42448652507059e-23
2.04658462695284e-11,-3.42793745719512e-12,1.16711079751039e-12,1.25346764074222e-11,77,-148,1.28264806811775e-22
3.41111992868691e-11,-5.71347286127831e-12,1.94525894507401e-12,2.08921212345662e-11,77,-148,3.56325033683289e-22
1.02337964373573e-10,-1.7141149587764e-11,5.83599958281867e-12,6.26793442954807e-11,77,-148,3.20723040791777e-21
1.70564729460277e-10,-2.85688258243652e-11,9.72674005377416e-12,1.04466565565051e-10,77,-148,8.9091427514769e-21
5.11698554893796e-10,-8.57071996590792e-11,2.91804399067046e-11,3.13402645042628e-10,77,-148,8.01838040366487e-20
8.52832380327315e-10,-1.42845561246574e-10,4.8634135589868e-11,5.22338679736171e-10,77,-148,2.22733619125235e-19
2.55850150749491e-09,-4.28537185472426e-10,1.4590255145805e-10,1.5670181814308e-09,77,-148,2.00460938004388e-18
4.26417063466251e-09,-7.1422850350409e-10,2.43170863077417e-10,2.61169656347286e-09,77,-148,5.568361432247e-18
1.27925162705005e-08,-2.14268050033237e-09,7.29510857300831e-10,7.8350716773207e-09,77,-148,5.01151883569564e-17
2.13208619063385e-08,-3.57112484059183e-09,1.21584824472381e-09,1.30584187933877e-08,77,-148,1.39208603283548e-16
6.39625900855284e-08,-1.07132316412076e-08,3.64749606218535e-09,3.91747342102723e-08,77,-148,1.25286477935152e-15
1.06604318264718e-07,-1.78551468133513e-08,6.07907863713515e-09,6.52903488743499e-08,77,-148,3.48014571099051e-15
3.19812959160668e-07,-5.35618417294808e-08,1.82360106687379e-08,1.95857886314614e-07,77,-148,3.13197035062263e-14
5.33021600056617e-07,-8.92637191596818e-08,3.0391302577409e-08,3.26407803926369e-07,77,-148,8.699486560662e-14
1.59906480453636e-06,-2.67700030051066e-07,9.11428848360208e-08,9.7889002376293e-07,77,-148,7.82750359882345e-13
2.66510800901611e-06,-4.46012561630315e-07,1.51852333061566e-07,1.63091913920097e-06,77,-148,2.17375570157502e-12
7.99532403141485e-06,-1.3356172437284e-06,4.54733289362093e-07,4.88388603715138e-06,77,-148,1.953692089487e-11
1.33255400538136e-05,-2.22171266806772e-06,7.56420538776179e-07,8.12396054186923e-06,77,-148,5.4192952389706e-11
3.99766201658073e-05,-6.58721265915549e-06,2.24277607783986e-06,2.40844011229747e-05,77,-148,4.83486693770067e-10
6.6627700277801e-05,-1.08153615178857e-05,3.68249861856032e-06,3.95353529753705e-05,77,-148,1.32902451383188e-09
0.000142286977263928,-2.17731949394568e-05,7.41512720462466e-06,7.9502884420535e-05,76.9999999999997,-148.000000000001,5.83658698497072e-09
0.000217946254250055,-3.06218520914062e-05,1.04329038295945e-05,0.000111587906344886,76.999999999999,-148.000000000003,1.29675480183162e-08
0.000316009852320215,-4.11072128204957e-05,1.51960484000314e-05,0.000161914379389079,76.9999999999973,-148.000000000008,2.63807719549856e-08
0.000414073450390376,-4.8450031835213e-05,1.96435216353563e-05,0.000208201918196724,76.999999999994,-148.000000000017,4.44631993500019e-08
0.000579446841796508,-6.92568928955908e-05,2.64498832854382e-05,0.000276903107633597,76.9999999999842,-148.000000000043,8.45891404389422e-08
0.000744820233202641,-8.75147285772551e-05,3.24334175308879e-05,0.000333928849154697,76.999999999967,-148.000000000089,1.3477975153175e-07
0.00102216681981382,-0.00011268153734759,4.07292750732516e-05,0.00040399769854307,76.9999999999183,-148.000000000219,2.3717081403446e-07
0.001299513406425,-0.000131628182886384,4.70698501481014e-05,0.000444494988236203,76.9999999998386,-148.000000000436,3.53487280174134e-07
0.00179674857469629,-0.000151704172178344,5.40840546533403e-05,0.000452968638912262,76.9999999996063,-148.000000001072,5.76822061569177e-07
0.00229398374296759,-0.000157595532446878,5.65935244107701e-05,0.000404179204454438,76.9999999992448,-148.00000000207,7.85248409129221e-07
0.00297204512471429,-0.000154586989946644,5.6209115520961e-05,0.000263326906093315,76.9999999985366,-148.00000000403,1.01168935205489e-06
0.00297423392223183,-0.000154566113913614,5.62024741262596e-05,0.000262757301891136,76.9999999985339,-148.000000004037,1.01226509796248e-06
0.00297642271974937,-0.000154545293561368,5.61958756486023e-05,0.000262187489042469,76.9999999985312,-148.000000004044,1.01283959681511e-06
0.00298736670733708,-0.00015444198960331,5.61635125541821e-05,0.000259335306356576,76.9999999985176,-148.000000004082,1.0156933667309e-06
0.00299831069492479,-0.000154339923604454,5.61321627420492e-05,0.000256477958392332,76.999999998504,-148.00000000412,1.01851588443161e-06
0.00305303063286332,-0.000153843444880682,5.59887724365288e-05,0.00024211597174243,76.999999998435,-148.00000000431,1.03215744600769e-06
0.00310775057080186,-0.000153358311804526,5.58630134447379e-05,0.000227636976500452,76.9999999983643,-148.000000004506,1.04500882068718e-06
0.00338135026049455,-0.000150492101135961,5.5250046745817e-05,0.000154275852600646,76.9999999979864,-148.00000000555,1.09725048534009e-06
0.00365494995018725,-0.000145331052137917,5.39963371125519e-05,8.2877182755782e-05,76.9999999975683,-148.000000006704,1.12978115448356e-06
0.00406208989343826,-0.000129969018630948,4.93980576854711e-05,-8.11152179090283e-06,76.9999999968739,-148.000000008614,1.14488845657768e-06
0.00446922983668928,-9.98160363352679e-05,3.89640255538098e-05,-6.14722378351394e-05,76.9999999961047,-148.000000010721,1.13323901869867e-06
0.00507442857658285,-2.55113921754502e-05,1.14426321674379e-05,-6.22453543328228e-05,76.9999999948596,-148.000000014113,1.09578552022872e-06
0.00567962731647643,6.28721067517981e-05,-2.17091548817879e-05,-5.92826097868747e-05,76.9999999935993,-148.000000017529,1.05938249983319e-06
0.00628482605637,0.000133529427202672,-4.83338502345409e-05,-0.000109602303810256,76.9999999923944,-148.00000002078,1.00840852556514e-06
0.00689002479626358,0.00013596728628978,-5.00724425621504e-05,-0.000189224888549083,76.9999999913398,-148.000000023617,9.15071422546217e-07
0.00749522353615715,7.22477404250154e-05,-2.79335277900418e-05,-0.000189841486616312,76.9999999904311,-148.000000026057,7.99986259246517e-07
0.00810042227605073,1.0759477773708e-05,-4.81760766553353e-06,-0.000105158240737148,76.9999999896075,-148.000000028274,7.19196762410515e-07
0.00858150007853892,-1.80843070852377e-06,2.15294733280771e-06,-1.74841995581354e-05,76.9999999889879,-148.000000029943,6.90153489886758e-07
0.00906257788102711,4.20359773756844e-05,-1.09709009870208e-05,-5.88948487989019e-05,76.9999999883809,-148.000000031564,6.61583644383652e-07
0.0095436556835153,0.000105161640512103,-3.35508136227665e-05,-0.000178934919959547,76.9999999878055,-148.000000033078,6.03955157012278e-07
0.0100247334860035,0.000105959851417586,-3.72857349326801e-05,-0.000180050105598267,76.9999999872961,-148.000000034391,5.27000265396443e-07
0.0106942476277903,4.59494600369474e-05,-1.84445194810847e-05,-7.67723827966778e-05,76.9999999866945,-148.000000035912,4.41539012515379e-07
