TIME,AX,AY,AngACC,X,Y,R,PSI
0,0,1.30673615416864e-17,-1.53776449275335e-16,77,-148,0,1.5707963267949
5.74540024354647e-30,-1.05026518283701e-30,1.30673615416866e-17,-1.53776449275333e-16,77,-148,-8.83507249111186e-46,1.5707963267949
4.36651296554905e-15,-7.99346944279107e-16,1.34335200506065e-16,1.10767846791307e-15,77,-148,2.08261276612263e-30,1.5707963267949
8.7330259310981e-15,-1.59869388855602e-15,2.55603039470109e-16,2.36913338509799e-15,77,-148,9.67338478359382e-30,1.5707963267949
3.05655907588433e-14,-5.59542860990769e-15,8.61942234285338e-16,8.67640797097068e-15,77,-148,1.30249633640563e-28,1.5707963267949
5.23981555865885e-14,-9.59216333120453e-15,1.46828142909226e-15,1.49836825567569e-14,77,-148,3.88529863778721e-28,1.5707963267949
1.61560979725315e-13,-2.95758369368663e-14,4.49997740300207e-15,4.65200554843902e-14,77,-148,3.74549073361047e-27,1.5707963267949
2.70723803864041e-13,-4.95595105411575e-14,7.53167337670395e-15,7.80564284098604e-14,77,-148,1.05450511351562e-26,1.5707963267949
8.16537924557671e-13,-1.49477878542053e-13,2.26901532420942e-14,2.35738293004766e-13,77,-148,9.61818461089868e-26,1.5707963267949
1.3623520452513e-12,-2.49396246508683e-13,3.78486331022859e-14,3.93420157545595e-13,77,-148,2.67883629336196e-25,1.5707963267949
4.09142264871946e-12,-7.48988085827831e-13,1.13641032325268e-13,1.18182947943861e-12,77,-148,2.41736736807207e-24,1.5707963267949
6.82049325218761e-12,-1.24857992429032e-12,1.89433431418284e-13,1.97023879997969e-12,77,-148,6.71847580820866e-24,1.5707963267949
2.04658462695284e-11,-3.7465391037528e-12,5.68395424933927e-13,5.91228538240662e-12,77,-148,6.04983883797957e-23,1.5707963267949
3.41111992868691e-11,-6.2444982617987e-12,9.47357415200483e-13,9.85433193103581e-12,77,-148,1.68068917869683e-22,1.5707963267949
1.02337964373573e-10,-1.87342937307792e-11,2.84216731779699e-12,2.95645641672163e-11,77,-148,1.51278080033026e-21,1.5707963267949
1.70564729460277e-10,-3.12240886643442e-11,4.73697713916642e-12,4.92747955584547e-11,77,-148,4.20225802865848e-21,1.5707963267949
5.11698554893796e-10,-9.3673055300907e-11,1.42110250276016e-11,1.47825939840452e-10,77,-148,3.78211220128843e-20,1.5707963267949
8.52832380327315e-10,-1.56122008551962e-10,2.36850708853394e-11,2.46377062998678e-10,77,-148,1.05059110007502e-19,1.5707963267949
2.55850150749491e-09,-4.68366574020961e-10,7.10552697130213e-11,7.39132361927321e-10,77,-148,9.45535616951215e-19,1.5707963267949
4.26417063466251e-09,-7.80610804837264e-10,1.18425417771008e-10,1.23188713273726e-09,77,-148,2.62648901957575e-18,1.5707963267949
1.27925162705005e-08,-2.3418269386722e-09,3.55275396446648e-10,3.69565306426357e-09,77,-148,2.36383728156762e-17,1.5707963267949
2.13208619063385e-08,-3.90303470431579e-09,5.92124105596911e-10,6.15940578976964e-09,77,-148,6.56620284054011e-17,1.5707963267949
6.39625900855284e-08,-1.17089479526523e-08,1.77634859985651e-09,1.84779712341091e-08,77,-148,5.90952299181177e-16,1.5707963267949
1.06604318264718e-07,-1.95146517619791e-08,2.96054132060382e-09,3.07962061463226e-08,77,-148,1.64151802373429e-15,1.5707963267949
3.19812959160668e-07,-5.85400220983346e-08,8.88102724546595e-09,9.23824111166743e-08,77,-148,1.4772903851299e-14,1.5707963267949
5.33021600056617e-07,-9.75601271891877e-08,1.48007144115002e-08,1.53960305094471e-07,77,-148,4.10338107278992e-14,1.5707963267949
1.59906480453636e-06,-2.92580784104435e-07,4.43870344540755e-08,4.61723660270294e-07,77,-148,3.69208341188426e-13,1.5707963267949
2.66510800901611e-06,-4.87466156131109e-07,7.39528336582894e-08,7.69273287649934e-07,77,-148,1.02531889179994e-12,1.5707963267949
