TIME,VX,VY,R,Fz_1,Fz_2,Fz_3,Fz_4,omega_1,omega_2,omega_3,omega_4,slip_1,slip_2,slip_3,slip_4,TAU_1,TAU_2,TAU_3,TAU_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.74540024354647e-30,-4.23463743627895e-56,7.3625604093848e-46,-8.83507249111186e-46,0,0,0,0,0,0,0,0,6.32226314450424e-44,-1.10310141693851e-43,9.27682611630265e-44,-9.27682611503226e-44,1.01235251790301e-43,4.55779548576584e-44,-3.22480145927457e-43,-3.22480145927457e-43
4.36651296554905e-15,-1.7114363544215e-29,3.15595255888416e-30,2.08261276612263e-30,1.41248207273397e-30,1.41248207273397e-30,7.24279079336605e-28,7.24279079336605e-28,0,0,0,0,2.51594627586284e-27,2.92909916490453e-27,2.34848019118937e-27,2.78582887207512e-27,-1.21752794984013e-28,-1.03299488617253e-28,2.64341800368061e-29,2.64341800368061e-29
8.7330259310981e-15,-6.84574541767953e-29,1.15046988029321e-29,9.67338478359382e-30,5.64992830454621e-30,5.64992830454621e-30,2.89711631735812e-27,2.89711631735812e-27,0,5.44709986254408e-54,5.44709986254408e-54,5.44709986254408e-54,9.9660858954683e-27,1.18835095547499e-26,9.25291272424194e-27,1.12843235287966e-26,-6.39877821278578e-28,-4.83813997625375e-28,5.95907527622697e-28,5.95907527622697e-28
3.05655907588433e-14,-8.38603813661357e-28,1.31140335300049e-28,1.30249633640563e-28,6.92116226566424e-29,6.92116226566424e-29,3.5489674888433e-26,3.5489674888433e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,5.07956702030623e-24,5.10537256603457e-24,5.07045169667409e-24,5.09780411973861e-24,-9.17608642236554e-27,-6.54461184849816e-27,1.15888617787278e-26,1.15888617787278e-26
5.23981555865885e-14,-2.46446835033935e-27,3.8059581392388e-28,3.88529863778721e-28,2.03397424300708e-28,2.03397424300708e-28,1.04296187429481e-25,1.04296187429481e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,1.57817864950747e-23,1.58587581099015e-23,1.57548129959348e-23,1.58364042673283e-23,-2.76216008060338e-26,-1.95357852090148e-26,3.6157795218311e-26,3.6157795218311e-26
1.61560979725315e-13,-2.34295636911533e-26,3.57517083887128e-27,3.74549073361047e-27,1.9336881427582e-27,1.9336881427582e-27,9.91538059771029e-25,9.91538059771029e-25,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,1.53782161971139e-22,1.54524133136885e-22,1.53524057218763e-22,1.54310610272821e-22,-2.68488759457573e-25,-1.88447284652397e-25,3.62642150235822e-25,3.62642150235822e-25
2.70723803864041e-13,-6.5787613459841e-26,1.00152419166888e-26,1.05450511351562e-26,5.42958195789149e-27,5.42958195789149e-27,2.78412878171817e-24,2.78412878171817e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,4.32598000943229e-22,4.34686920335568e-22,4.31872364311469e-22,4.34086825049852e-22,-7.57088562650935e-25,-5.30618171820995e-25,1.02852598493415e-24,1.02852598493415e-24
8.16537924557671e-13,-5.98472178661687e-25,9.08980380897721e-26,9.61818461089868e-26,4.93931100908982e-26,4.93931100908982e-26,2.53273151463773e-23,2.53273151463773e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,3.93890914785112e-21,3.95796203850963e-21,3.93229984243087e-21,3.95249803011376e-21,-6.91607724605375e-24,-4.84036342305875e-24,9.44893735269102e-24,9.44893735269102e-24
1.3623520452513e-12,-1.6659806043151e-24,2.52918235547399e-25,2.67883629336196e-25,1.37496767437872e-25,1.37496767437872e-25,7.05042227957106e-23,7.05042227957106e-23,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,1.09656068805452e-20,1.10186724593539e-20,1.09472038906855e-20,1.10034594528461e-20,-1.92683820401619e-23,-1.34815933654405e-23,2.63543357085772e-23,2.63543357085772e-23
4.09142264871946e-12,-1.50258806318934e-23,2.28008024097159e-24,2.41736736807207e-24,1.24011856828264e-24,1.24011856828264e-24,6.35894581667422e-22,6.35894581667422e-22,1.92957972063237e-21,1.92957972063237e-21,1.92957972063237e-21,1.92957972063237e-21,9.89048942816888e-20,9.93837540542711e-20,9.8738872634949e-20,9.92465197822441e-20,-1.73929647584857e-22,-1.21660013384063e-22,2.38156132191557e-22,2.38156132191557e-22
6.82049325218761e-12,-4.17563771401017e-23,6.33567727385811e-24,6.71847580820866e-24,3.44625007411058e-24,3.44625007411058e-24,1.76712797822277e-21,1.76712797822277e-21,5.36224767800341e-21,5.36224767800341e-21,5.36224767800341e-21,5.36224767800341e-21,2.74853846125678e-19,2.76184718013157e-19,2.74392455431122e-19,2.75803335350846e-19,-4.83423815542167e-22,-3.38125550432998e-22,6.62082602891361e-22,6.62082602891361e-22
