TIME,VX,VY,R,Fz_1,Fz_2,Fz_3,Fz_4,omega_1,omega_2,omega_3,omega_4,slip_1,slip_2,slip_3,slip_4,TAU_1,TAU_2,TAU_3,TAU_4,STRA
4.09142264871946e-12,-1.3561503621926902e-23,-3.51377882082218e-24,-3.79135071493866e-24,0.0,0.0,6.87681302136392e-22,6.87681302136392e-22,2.2688153471445102e-21,2.2688153471445102e-21,2.2688153471445102e-21,2.2688153471445102e-21,1.0896388500353401e-20,1.0828738134567e-20,1.0863349630926201e-20,1.07837312659125e-20,1.25301340047301e-23,2.4778862280463997e-23,-3.8285734846195304e-23,-3.8285734846195304e-23,3.01289847826696
6.82049325218761e-12,-3.76869265567086e-23,-9.76524685882424e-24,-1.05353264934337e-23,0.0,0.0,1.91104139612355e-21,1.91104139612355e-21,6.30497392616516e-21,6.30497392616516e-21,6.30497392616516e-21,6.30497392616516e-21,3.02807451889732e-20,3.00927595309731e-20,3.01889332338992e-20,2.99676913775371e-20,3.48186558233631e-23,6.88506128912302e-23,-1.06369132960045e-22,-1.06369132960045e-22,3.01289847826698
2.04658462695284e-11,-3.39327117467071e-22,-8.79299829492214e-23,-9.485211470655431e-23,0.0,0.0,1.72067143406549e-20,1.72067143406549e-20,5.676906931680171e-20,5.676906931680171e-20,5.676906931680171e-20,5.676906931680171e-20,2.7264333788861303e-19,2.70950855086718e-19,2.7181669435456803e-19,2.69824799945731e-19,3.1348247422634097e-22,6.19839495470197e-22,-9.57501008718981e-22,-9.57501008718981e-22,3.01289847826699
3.41111992868691e-11,-9.426557667157569e-22,-2.44273711674203e-22,-2.63497084546122e-22,0.0,0.0,4.78005085276768e-20,4.78005085276768e-20,1.5770533518939901e-19,1.5770533518939901e-19,1.5770533518939901e-19,1.5770533518939901e-19,7.574072776973811e-19,7.52705596623798e-19,7.55110859004812e-19,7.49577420229343e-19,8.708483062465889e-22,1.72187859016948e-21,-2.6598243539938802e-21,-2.6598243539938802e-21,3.01289847826698
1.0233796437357301e-10,-8.484625782798561e-21,-2.1986772175473402e-21,-2.37164462872516e-21,0.0,0.0,4.3024132121250304e-19,4.3024132121250304e-19,1.4194692041759698e-18,1.4194692041759698e-18,1.4194692041759698e-18,1.4194692041759698e-18,6.81724709882309e-18,6.7749289099990594e-18,6.79657765090096e-18,6.74677311369774e-18,7.83820757338865e-21,1.54978270532513e-20,-2.3939312826193602e-20,-2.3939312826193602e-20,3.01289847826699
1.7056472946027701e-10,-2.3568806824976302e-20,-6.10755542724328e-21,-6.58799659271088e-21,0.0,0.0,1.1951352599174099e-18,1.1951352599174099e-18,3.94303726287748e-18,3.94303726287748e-18,3.94303726287748e-18,3.94303726287748e-18,1.89371202502801e-17,1.8819568027667202e-17,1.88797041846928e-17,1.87413562562459e-17,2.1773116781542302e-20,4.30500300296064e-20,-6.64985868164118e-20,-6.64985868164118e-20,3.01289847826698
5.11698554893796e-10,-2.12122864272847e-19,-5.49690636242473e-20,-5.92928190328005e-20,0.0,0.0,1.07564047327878e-17,1.07564047327878e-17,3.5487938201379904e-17,3.5487938201379904e-17,3.5487938201379904e-17,3.5487938201379904e-17,1.7043697539315002e-16,1.69378990176628e-16,1.6992022244475002e-16,1.68675073245061e-16,1.9596089978528999e-19,3.87454838583158e-19,-5.98491702423503e-19,-5.98491702423503e-19,3.01289847826699
8.528323803273151e-10,-5.89232143327661e-19,-1.52692425411588e-19,-1.6470273686123801e-19,0.0,0.0,2.98790142258852e-17,2.98790142258852e-17,9.85779348409913e-17,9.857793484099141e-17,9.85779348409913e-17,9.857793484099141e-17,4.73437620369663e-16,4.70498764277829e-16,4.72002190959221e-16,4.68543433485136e-16,5.44337381386756e-19,1.07626591125165e-18,-1.6624793034959e-18,-1.6624793034959e-18,3.01289847826698
2.55850150749491e-09,-5.30310521839785e-18,-1.37423661210039e-18,-1.48232829721041e-18,0.0,0.0,2.68912523125074e-16,2.68912523125074e-16,8.872040784640339e-16,8.872040784640409e-16,8.87204078464037e-16,8.87204078464044e-16,4.2609513715816106e-15,4.23450160109337e-15,4.2480324701782306e-15,4.21690357593685e-15,4.89904874933553e-18,9.686412232900129e-18,-1.4962329951544102e-17,-1.4962329951544102e-17,3.01289847826696
4.2641706346625105e-09,-1.47308520779446e-17,-3.81732538788873e-18,-4.11757935391062e-18,0.0,0.0,7.46981016243803e-16,7.46981016243803e-16,2.4644564843911304e-15,2.46445648439118e-15,2.46445648439115e-15,2.4644564843912002e-15,1.18359794405398e-14,1.1762507842315e-14,1.18000935941204e-14,1.17136244276885e-14,1.36084713412608e-17,2.69067028177714e-17,-4.15620236755238e-17,-4.15620236755238e-17,3.01289847826698
