TIME,lamdaFL,lamdaFR,lamdaRL,lamdaRR,fxFL,tauFR,tauRL,tauRR
0.0138282075412103,0.0,0.0,0.0,0.0,3644.016787841781,0.0,0.0,0.0
0.0144413435432102,0.0,0.0,0.0,0.0,3869.4073545027345,0.0,0.0,0.0
0.0150544795452101,0.0,0.0,0.0,0.0,4085.3493413849233,0.0,0.0,0.0
0.01566761554721,0.0,0.0,0.0,0.0,4289.734296308965,0.0,0.0,0.0
0.0162807515492099,0.0,0.0,0.0,0.0,4481.637722966819,0.0,0.0,0.0
0.0168938875512098,0.0,0.0,0.0,0.0,4659.32433441853,0.0,0.0,0.0
0.0175070235532097,0.0,0.0,0.0,0.0,4822.0682463850235,0.0,0.0,0.0
0.0181201595552096,0.0,0.0,0.0,0.0,4968.556384247145,0.0,0.0,0.0
0.0190004607661956,0.0,0.0,0.0,0.0,5149.289510128437,0.0,0.0,0.0
0.0198807619771816,0.0,0.0,0.0,0.0,5293.330961775527,0.0,0.0,0.0
0.0207610631881677,0.0,0.0,0.0,0.0,5400.088332676167,0.0,0.0,0.0
0.0216413643991537,0.0,0.0,0.0,0.0,5469.105985827388,0.0,0.0,0.0
0.0225216656101397,0.0,0.0,0.0,0.0,5500.731041915486,0.0,0.0,0.0
0.0234019668211257,0.0,0.0,0.0,0.0,5496.362808946647,0.0,0.0,0.0
0.0249007580810607,0.0,0.0,0.0,0.0,5410.895765997815,0.0,0.0,0.0
0.0263995493409957,0.0,0.0,0.0,0.0,5240.666058036783,0.0,0.0,0.0
0.0281997746704978,0.0,0.0,0.0,0.0,4940.670536227004,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,4574.313698274625,0.0,0.0,0.0
0.0330149778682997,0.0,0.0,0.0,0.0,3888.3153344350203,0.0,0.0,0.0
0.0360299557365993,0.0,0.0,0.0,0.0,3257.304242631454,0.0,0.0,0.0
0.0399421414159776,0.0,0.0,0.0,0.0,2646.063147430184,0.0,0.0,0.0
0.0438543270953559,0.0,0.0,0.0,0.0,2410.3756224209596,0.0,0.0,0.0
0.0477665127747341,0.0,0.0,0.0,0.0,2541.2589201911865,0.0,0.0,0.0
0.0516786984541124,0.0,0.0,0.0,0.0,2923.2921854087963,0.0,0.0,0.0
0.0522874496728258,0.0,0.0,0.0,0.0,3003.5788051007116,0.0,0.0,0.0
0.0528962008915392,0.0,0.0,0.0,0.0,3085.94826965051,0.0,0.0,0.0
0.0549217516420361,0.0,0.0,0.0,0.0,3365.078150798917,0.0,0.0,0.0
0.056947302392533,0.0,0.0,0.0,0.0,3630.811300695089,0.0,0.0,0.0
0.0584736511962665,0.0,0.0,0.0,0.0,3814.5368787314887,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.0,3970.6685594326705,0.0,0.0,0.0
0.0640684294640437,0.0,0.0,0.0,0.0,4220.986747881598,0.0,0.0,0.0
0.0681368589280874,0.0,0.0,0.0,0.0,4226.309293176491,0.0,0.0,0.0
0.0738743031008751,0.0,0.0,0.0,0.0,3913.788256950457,0.0,0.0,0.0
0.0796117472736628,0.0,0.0,0.0,0.0,3518.493292479831,0.0,0.0,0.0
0.0848058736368314,0.0,0.0,0.0,0.0,3225.7218895438305,0.0,0.0,0.0
0.09,0.0,0.0,0.0,0.0,3156.6372175381102,0.0,0.0,0.0
0.0951941263631686,0.0,0.0,0.0,0.0,3290.5115365094825,0.0,0.0,0.0
0.100388252726337,0.0,0.0,0.0,0.0,3509.0463435563875,0.0,0.0,0.0
0.100388618811805,0.0,0.0,0.0,0.0,3509.065952744301,0.0,0.0,0.0
0.100388618811806,0.0,0.0,0.0,0.0,3509.0659527443554,0.0,0.0,0.0
0.100463573034681,0.0,0.0,0.0,0.0,3512.8268192372093,0.0,0.0,0.0
0.100538527257556,0.0,0.0,0.0,0.0,3516.5803681339644,0.0,0.0,0.0
0.100613481480431,0.0,0.0,0.0,0.0,3520.326298379695,0.0,0.0,0.0
0.100688435703306,0.0,0.0,0.0,0.0,3524.0639972654317,0.0,0.0,0.0
0.100747803424998,0.0,0.0,0.0,0.0,3527.0184389624246,0.0,0.0,0.0
0.100807171146691,0.0,0.0,0.0,0.0,3529.967218883877,0.0,0.0,0.0
0.101104009755154,0.0,0.0,0.0,0.0,3544.6172243009487,0.0,0.0,0.0
0.101400848363618,0.0,0.0,0.0,0.0,3559.08929620073,0.0,0.0,0.0
0.102885041405934,0.0,0.0,0.0,0.0,3627.7684208414257,0.0,0.0,0.0
0.10436923444825,0.0,0.0,0.0,0.0,3688.1989782649066,0.0,0.0,0.0
0.108658353549112,0.0,0.0,0.0,0.0,3800.9156553909183,0.0,0.0,0.0
0.112947472649973,0.0,0.0,0.0,0.0,3815.203811675328,0.0,0.0,0.0
0.116473736324987,0.0,0.0,0.0,0.0,3760.0853971673628,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0,3671.8150636379664,0.0,0.0,0.0
0.12000307004027,0.0,0.0,0.0,0.0,3671.723778647018,0.0,0.0,0.0
0.12000614008054,0.0,0.0,0.0,0.0,3671.6324865209453,0.0,0.0,0.0
0.120021490281892,0.0,0.0,0.0,0.0,3671.17591972186,0.0,0.0,0.0
0.120036840483243,0.0,0.0,0.0,0.0,3670.719178048837,0.0,0.0,0.0
0.120066321058753,0.0,0.0,0.0,0.0,3669.8415082192114,0.0,0.0,0.0
0.120095801634264,0.0,0.0,0.0,0.0,3668.963221417317,0.0,0.0,0.0
0.12014048669845,0.0,0.0,0.0,0.0,3667.6308134926126,0.0,0.0,0.0
0.120185171762637,0.0,0.0,0.0,0.0,3666.297074210727,0.0,0.0,0.0
0.120229856826823,0.0,0.0,0.0,0.0,3664.962029355238,0.0,0.0,0.0
0.120274541891009,0.0,0.0,0.0,0.0,3663.6257231408117,0.0,0.0,0.0
0.120337138773164,0.0,0.0,0.0,0.0,3661.7516779585603,0.0,0.0,0.0
0.120399735655319,0.0,0.0,0.0,0.0,3659.8752676368194,0.0,0.0,0.0
0.120426801025037,0.0,0.0,0.0,0.0,3659.0632270216124,0.0,0.0,0.0
0.120453866394754,0.0,0.0,0.0,0.0,3658.250760761932,0.0,0.0,0.0
0.120507200708603,0.0,0.0,0.0,0.0,3656.648517404382,0.0,0.0,0.0
0.120560535022451,0.0,0.0,0.0,0.0,3655.044732726609,0.0,0.0,0.0
0.120641427463125,0.0,0.0,0.0,0.0,3652.609493722332,0.0,0.0,0.0
0.120666230424863,0.0,0.0,0.0,0.0,3651.8622221537444,0.0,0.0,0.0
0.120666230424864,0.0,0.0,0.0,0.0,3651.8622221537257,0.0,0.0,0.0
0.12066723601056,0.0,0.0,0.0,0.0,3651.8319165142575,0.0,0.0,0.0
0.120667236010561,0.0,0.0,0.0,0.0,3651.8319165142207,0.0,0.0,0.0
0.120748128451234,0.0,0.0,0.0,0.0,3649.3928069433155,0.0,0.0,0.0
