TIME,VX,VY,R,Fz_1,Fz_2,Fz_3,Fz_4,omega_1,omega_2,omega_3,omega_4,slip_1,slip_2,slip_3,slip_4,TAU_1,TAU_2,TAU_3,TAU_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.74548004963942e-30,-3.91402768916354e-56,7.36266267859314e-46,-8.8351952140185e-46,0,0,0,0,0,0,0,0,2.10160816996179e-44,-1.18378100081613e-43,9.27695497530653e-44,-9.27695497413232e-44,1.17492116336693e-43,1.52544586980022e-44,-3.22484625315341e-43,-3.22484625315341e-43
4.36651296554905e-15,-1.57919881269002e-29,5.72073627397914e-30,4.96624598135513e-30,1.41248207273397e-30,1.41248207273397e-30,7.24279079336605e-28,7.24279079336605e-28,0,0,0,0,2.64086803950996e-27,3.45790286013609e-27,1.84734239099274e-27,2.89025404707732e-27,-2.28855678159273e-28,-1.01790375191588e-28,3.33788594428361e-28,3.33788594428361e-28
8.7330259310981e-15,-6.31679525075413e-29,2.17638336633024e-29,2.1207917644513e-29,5.64992830454621e-30,5.64992830454621e-30,2.89711631735812e-27,2.89711631735812e-27,0,5.44709986254408e-54,5.44709986254408e-54,5.44709986254408e-54,1.05315280933373e-26,1.40115440151517e-26,7.24836152345733e-27,1.17020242288051e-26,-1.09400860795012e-27,-4.30348002542293e-28,1.82532518518776e-27,1.82532518518776e-27
3.05655907588433e-14,-7.73807418213334e-28,2.56814737338927e-28,2.71547661186084e-28,6.92116226566424e-29,6.92116226566424e-29,3.5489674888433e-26,3.5489674888433e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,5.0870690447338e-24,5.13155316036978e-24,5.04589594446461e-24,5.10292095331369e-24,-1.49642320313071e-26,-5.47464492165735e-27,2.66492280838211e-26,2.66492280838211e-26
5.23981555865885e-14,-2.27404629024816e-27,7.4992466889342e-28,8.03773046767551e-28,2.03397424300708e-28,2.03397424300708e-28,1.04296187429481e-25,1.04296187429481e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,1.58041150684962e-23,1.59357519408595e-23,1.56826491527073e-23,1.58514414925285e-23,-4.47418867451611e-26,-1.61881231446458e-26,8.04168308901993e-26,8.04168308901993e-26
1.61560979725315e-13,-2.16192317449172e-26,7.08635974470488e-27,7.69318460511601e-27,1.9336881427582e-27,1.9336881427582e-27,9.91538059771029e-25,9.91538059771029e-25,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,1.53996972790989e-22,1.55256603302161e-22,1.5283799957032e-22,1.54453568337394e-22,-4.32241629663016e-25,-1.54793233814531e-25,7.83410343522111e-25,7.83410343522111e-25
2.70723803864041e-13,-6.07044023560015e-26,1.98742705168963e-26,2.16297372138155e-26,5.42958195789149e-27,5.42958195789149e-27,2.78412878171817e-24,2.78412878171817e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,4.33202543178595e-22,4.36743883753801e-22,4.29945990607634e-22,4.34488235422535e-22,-1.21742715480683e-24,-4.35127877068259e-25,2.20999635378128e-24,2.20999635378128e-24
8.16537924557671e-13,-5.52230032702568e-25,1.8058595980555e-25,1.97019615992913e-25,4.93931100908982e-26,4.93931100908982e-26,2.53273151463773e-23,2.53273151463773e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,3.94442108469983e-21,3.97667672197035e-21,3.91477555469919e-21,3.9561496740577e-21,-1.11086415128055e-23,-3.96274408169909e-24,2.01968138674667e-23,2.01968138674667e-23
1.3623520452513e-12,-1.5372552917332e-24,5.02584541429735e-25,5.4858802094999e-25,1.37496767437872e-25,1.37496767437872e-25,7.05042227957106e-23,7.05042227957106e-23,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,1.09809574412322e-20,1.10707702858154e-20,1.08984211326787e-20,1.10136246170782e-20,-3.09420004218937e-23,-1.1033598599301e-23,5.62734438135374e-23,5.62734438135374e-23
