TIME,VX,VY,R,Fz_1,Fz_2,Fz_3,Fz_4,omega_1,omega_2,omega_3,omega_4,slip_1,slip_2,slip_3,slip_4,TAU_1,TAU_2,TAU_3,TAU_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.74548004963942e-30,-3.87121334405186e-56,7.36266267859847e-46,-8.83519521401223e-46,0,0,0,0,0,0,0,0,1.64935182330394e-44,-1.18717203455292e-43,9.27695497529352e-44,-9.27695497413215e-44,1.18211830827208e-43,1.23409356543236e-44,-3.2248462531527e-43,-3.2248462531527e-43
4.36651296554905e-15,-1.56221081394836e-29,5.93649623399643e-30,5.22153531283589e-30,1.41248207273397e-30,1.41248207273397e-30,7.24279079336605e-28,7.24279079336605e-28,0,0,0,0,2.66821103974903e-27,3.50736518205216e-27,1.79505501307478e-27,2.89157742877031e-27,-2.25895622789629e-28,-8.81248623907159e-29,3.62694039981148e-28,3.62694039981148e-28
8.7330259310981e-15,-6.24884325578756e-29,2.26268735033707e-29,2.2229074970435e-29,5.64992830454621e-30,5.64992830454621e-30,2.89711631735812e-27,2.89711631735812e-27,0,5.44709986254408e-54,5.44709986254408e-54,5.44709986254408e-54,1.06477743091002e-26,1.42099087338209e-26,7.03921201178566e-27,1.1707317755577e-26,-1.08326233950146e-27,-3.71257448920983e-28,1.9409469673988e-27,1.9409469673988e-27
3.05655907588433e-14,-7.65483298829973e-28,2.67386975379709e-28,2.84056838428564e-28,6.92116226566424e-29,6.92116226566424e-29,3.5489674888433e-26,3.5489674888433e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,5.08855321025644e-24,5.13398763819476e-24,5.04333386294664e-24,5.10298579901664e-24,-1.48421623318231e-26,-4.71203624364381e-27,2.80655949158989e-26,2.80655949158989e-26
5.23981555865885e-14,-2.24958357206045e-27,7.80994103135561e-28,8.40534710500368e-28,2.03397424300708e-28,2.03397424300708e-28,1.04296187429481e-25,1.04296187429481e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,1.58085061587078e-23,1.59429085336617e-23,1.56751197702872e-23,1.58516320594923e-23,-4.43878396719099e-26,-1.3928008141766e-26,8.45792150497542e-26,8.45792150497542e-26
1.61560979725315e-13,-2.13866660421526e-26,7.38173512995749e-27,8.04267569990008e-27,1.9336881427582e-27,1.9336881427582e-27,9.91538059771029e-25,9.91538059771029e-25,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,1.54038983585376e-22,1.55324660497911e-22,1.52766418149953e-22,1.54455380046932e-22,-4.28917886580013e-25,-1.33135764180646e-25,8.22981898482397e-25,8.22981898482397e-25
2.70723803864041e-13,-6.00513836844131e-26,2.07036518031508e-26,2.2611069403966e-26,5.42958195789149e-27,5.42958195789149e-27,2.78412878171817e-24,2.78412878171817e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,4.33320648811706e-22,4.36934991599265e-22,4.2974499792693e-22,4.34493322501763e-22,-1.20811736714605e-24,-3.74223347793331e-25,2.32110888647923e-24,2.32110888647923e-24
8.16537924557671e-13,-5.46289499423748e-25,1.88130869845932e-25,2.05946828623734e-25,4.93931100908982e-26,4.93931100908982e-26,2.53273151463773e-23,2.53273151463773e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,3.94549679154468e-21,3.9784153337657e-21,3.91294711738113e-21,3.95619595139211e-21,-1.10241562737439e-23,-3.40785867912369e-24,2.12076083928063e-23,2.12076083928063e-23
1.3623520452513e-12,-1.52071849424341e-24,5.23587478970938e-25,5.73438905625703e-25,1.37496767437872e-25,1.37496767437872e-25,7.05042227957106e-23,7.05042227957106e-23,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,1.09839526276521e-20,1.10756101527291e-20,1.08933312701643e-20,1.10137534403457e-20,-3.07069310172651e-23,-9.48848969840182e-24,5.90872155045279e-23,5.90872155045279e-23
4.09142264871946e-12,-1.37157266477349e-23,4.72131138848485e-24,5.17324405479906e-24,1.24011856828264e-24,1.24011856828264e-24,6.35894581667422e-22,6.35894581667422e-22,1.92957972063237e-21,1.92957972063237e-21,1.92957972063237e-21,1.92957972063237e-21,9.9070427159603e-20,9.98973013498876e-20,9.82529824852189e-20,9.93393637367267e-20,-2.77121842151052e-22,-8.55965800714938e-23,5.33381864879046e-22,5.33381864879046e-22
