TIME,AX,AY,AngACC,X,Y,R
0,0,1.30673615416864e-17,-1.53776449275335e-16,77,-148,0
5.74548004963942e-30,-9.60076352321548e-31,1.30673615416867e-17,-1.53776449275331e-16,77,-148,-8.83519521401223e-46
4.36651296554905e-15,-7.29649359862702e-16,2.64203838880693e-16,2.54540352288421e-15,77,-148,5.22153531283589e-30
8.7330259310981e-15,-1.4592987197234e-15,5.1534031621901e-16,5.24458349503635e-15,77,-148,2.2229074970435e-29
3.05655907588433e-14,-5.10754551899687e-15,1.77102270290026e-15,1.8740483355686e-14,77,-148,2.84056838428564e-28
5.23981555865885e-14,-8.75579231822029e-15,3.02670508956429e-15,3.22363832161504e-14,77,-148,8.40534710500368e-28
1.61560979725315e-13,-2.69970263135867e-14,9.30511702262604e-15,9.97158825156958e-14,77,-148,8.04267569990008e-27
2.70723803864041e-13,-4.5238260307702e-14,1.55835289552572e-14,1.67195381810613e-13,77,-148,2.2611069403966e-26
8.16537924557671e-13,-1.36444430259511e-13,4.69755886119533e-14,5.04592878215773e-13,77,-148,2.05946828623734e-25
1.3623520452513e-12,-2.27650600180042e-13,7.83676482578837e-14,8.41990374505224e-13,77,-148,5.73438905625703e-25
4.09142264871946e-12,-6.83681449313513e-13,2.35327946326049e-13,2.52897785421685e-12,77,-148,5.17324405479906e-24
6.82049325218761e-12,-1.13971229766502e-12,3.92288244125071e-13,4.21596533103575e-12,77,-148,1.43769571379705e-23
2.04658462695284e-11,-3.41986652769301e-12,1.17708972908302e-12,1.26509026717394e-11,77,-148,1.29454141242611e-22
3.41111992868691e-11,-5.70002073817181e-12,1.96189120731237e-12,2.10858399401251e-11,77,-148,3.59629022377591e-22
1.02337964373573e-10,-1.71007914973275e-11,5.88589849753007e-12,6.32605251972817e-11,77,-148,3.23696884335897e-21
1.70564729460277e-10,-2.85015617677523e-11,9.80990561953249e-12,1.05435208646484e-10,77,-148,8.99175092514692e-21
5.11698554893796e-10,-8.55054057888849e-11,2.94299387063063e-11,3.16308598773073e-10,77,-148,8.09272902275856e-20
8.52832380327315e-10,-1.42509237591634e-10,4.90499675876607e-11,5.2718194370038e-10,77,-148,2.24798865431058e-19
2.55850150749491e-09,-4.27528213326298e-10,1.47150048912003e-10,1.58154799033496e-09,77,-148,2.023196652625e-18
4.26417063466251e-09,-7.12546883587694e-10,2.4525002509618e-10,2.63591290693527e-09,77,-148,5.61999275986436e-18
1.27925162705005e-08,-2.13763565237943e-09,7.35748328772211e-10,7.90772053783409e-09,77,-148,5.05798696706629e-17
2.13208619063385e-08,-3.56271678262941e-09,1.22624400335915e-09,1.31794999113495e-08,77,-148,1.40499382341919e-16
6.39625900855284e-08,-1.06880078037265e-08,3.67868292216055e-09,3.95379727196171e-08,77,-148,1.26448167339863e-15
1.06604318264718e-07,-1.78131076475326e-08,6.13105604061729e-09,6.58957382775379e-08,77,-148,3.51241454361607e-15
3.19812959160668e-07,-5.34357327050401e-08,1.83919324035087e-08,1.97673932496561e-07,77,-148,3.16101080902565e-14
5.33021600056617e-07,-8.90535516192039e-08,3.06511546206099e-08,3.29434343514577e-07,77,-148,8.78015050359315e-14
