TIME,AX,AY,AngACC,X,Y,R
6.6627700277801e-05,-1.20885866784557e-05,-2.52692148363391e-07,-2.6015233448457e-06,77,-148,-8.74534662233244e-11
0.000142286977258757,-2.43360619408997e-05,-5.08777521707486e-07,-5.23125018948401e-06,77,-148.000000000001,-3.84053546165602e-10
0.000217946254239713,-3.42252972978945e-05,-7.15710000484573e-07,-7.34178053741494e-06,77.0000000000001,-148.000000000003,-8.53236110955506e-10
0.000316009852251027,-4.63513774173602e-05,-1.0422053433115e-06,-1.0651617083548e-05,77.0000000000002,-148.000000000009,-1.73567780116788e-09
0.000414073450262341,-5.5221167400493e-05,-1.34672192591213e-06,-1.36939742518466e-05,77.0000000000004,-148.000000000019,-2.9250786228392e-09
0.000579588089376499,-7.8358985355929e-05,-1.81212911294076e-06,-1.82075647578666e-05,77.0000000000011,-148.000000000049,-5.5661102697898e-09
0.000745102728490657,-9.86322130210191e-05,-2.21965239150818e-06,-2.19446928183072e-05,77.0000000000023,-148.0000000001,-8.867899426624e-09
0.00102256763188883,-0.000126497323956727,-2.78026801210002e-06,-2.65102222078238e-05,77.0000000000056,-148.000000000247,-1.55941771191124e-08
0.001300032535287,-0.000147394074541329,-3.20296473453704e-06,-2.911266166315e-05,77.0000000000111,-148.000000000491,-2.32214309150194e-08
0.00179747017101472,-0.000169337495114816,-3.65491629246743e-06,-2.95329817748408e-05,77.0000000000269,-148.000000001207,-3.78214592011782e-08
0.00229490780674245,-0.000175537315341791,-3.79518075252157e-06,-2.61964230808366e-05,77.0000000000515,-148.000000002326,-5.13755263999173e-08
0.00320519969095353,-0.000169673150003543,-3.7154459901287e-06,-1.33435185650697e-05,77.0000000001197,-148.000000005447,-6.93762633820252e-08
0.00320734777050052,-0.000169641503564111,-3.71487985772179e-06,-1.33059118610093e-05,77.0000000001199,-148.000000005456,-6.9404885930348e-08
0.0032094958500475,-0.000169609817677974,-3.71431388752547e-06,-1.32682985641533e-05,77.0000000001201,-148.000000005465,-6.94334276869682e-08
0.00322023624778242,-0.000169450755776063,-3.71148548082401e-06,-1.30801373767834e-05,77.0000000001211,-148.00000000551,-6.95749240394605e-08
0.00323097664551734,-0.000169290539952785,-3.70865705611436e-06,-1.28918288878917e-05,77.0000000001221,-148.000000005556,-6.97143984034828e-08
0.00328467863419195,-0.000168467040303636,-3.69438983818351e-06,-1.19486511716394e-05,77.0000000001271,-148.000000005786,-7.03813904411689e-08
0.00333838062286655,-0.00016759355420419,-3.67960328074785e-06,-1.10043391438094e-05,77.0000000001323,-148.000000006021,-7.09976910514839e-08
0.00360689056623957,-0.000161838515666626,-3.58182559377215e-06,-6.3645415787203e-06,77.0000000001595,-148.000000007265,-7.33286312592336e-08
0.00387540050961259,-0.000152194602210284,-3.4034525041329e-06,-2.18950638344861e-06,77.0000000001892,-148.000000008622,-7.44975477656631e-08
0.00460009797546288,-9.57708542873711e-05,-2.2244431656398e-06,4.23086869933731e-06,77.0000000002801,-148.00000001276,-7.37134672205103e-08
0.00532479544131316,1.24946260426367e-05,1.74496114355851e-07,2.32680869196418e-06,77.0000000003786,-148.000000017223,-7.23279523762177e-08
0.00566505923305371,7.05667630952158e-05,1.44123196595011e-06,2.6812436920768e-06,77.0000000004262,-148.000000019372,-7.14853264609194e-08
0.00600532302479426,0.000116486810959129,2.41468610686183e-06,6.79093814920372e-06,77.0000000004721,-148.000000021435,-6.96639782922474e-08
0.00634558681653481,0.000144948680574844,3.01900548409094e-06,1.25010239479617e-05,77.0000000005155,-148.000000023382,-6.63758864167042e-08
0.00668585060827535,0.000147341438176775,3.12104603953727e-06,1.58492271751856e-05,77.0000000005557,-148.000000025171,-6.16845770496e-08
0.00722733243437702,0.000100172362857624,2.27475038692852e-06,1.29289730089637e-05,77.0000000006131,-148.000000027715,-5.38731470984113e-08
0.00776881426047868,3.53340443618705e-05,9.24206753500234e-07,4.99137553497775e-06,77.0000000006649,-148.000000030016,-4.94675110250261e-08
0.00831029608658035,-2.2107886691026e-06,-8.11839938644054e-08,2.86161133486156e-07,77.0000000007135,-148.000000032173,-4.80805467259783e-08
0.00885177791268201,3.53762849009581e-05,4.58931668485298e-07,6.09076906129512e-06,77.0000000007608,-148.000000034259,-4.54195323275959e-08
0.00939325973878367,9.61206400719677e-05,1.77193794067278e-06,1.12092232275731e-05,77.0000000008059,-148.000000036216,-4.0708117729391e-08
0.00993474156488534,0.000107374161314944,2.29025054967742e-06,9.40173431608297e-06,77.0000000008463,-148.000000037929,-3.57437340181674e-08
0.010476223390987,7.40758206629521e-05,1.74212942055739e-06,6.42031317559069e-06,77.0000000008814,-148.000000039389,-3.1471963630977e-08
0.0110177052170887,4.85872990030541e-05,1.02405257149242e-06,6.42638422369462e-06,77.000000000912,-148.000000040643,-2.77281934773155e-08
0.0115591870431903,6.04598980867061e-05,1.02241252734102e-06,8.32037368141613e-06,77.0000000009389,-148.000000041716,-2.37311135776003e-08
0.012100668869292,8.71747482959348e-05,1.59752735204482e-06,9.07775588571128e-06,77.0000000009621,-148.000000042591,-1.91217930977929e-08
0.0126421506953937,9.44848430694801e-05,1.9869330413227e-06,7.56643844543965e-06,77.0000000009808,-148.000000043235,-1.46183255992638e-08
0.0131836325214953,7.27598980288254e-05,1.5751439056407e-06,6.75701088358961e-06,77.0000000009947,-148.00000004364,-1.06779664801872e-08
0.013725114347597,6.34490938606397e-05,1.19593348068149e-06,8.01441609268332e-06,77.0000000010042,-148.00000004383,-6.67318383807594e-09
0.0142665961736986,8.32865267071589e-05,1.56150311393931e-06,7.8790933329962e-06,77.0000000010094,-148.000000043804,-2.49400315877949e-09
0.0151371333941868,7.76609561752321e-05,1.56851367912113e-06,6.12008943312268e-06,77.0000000010087,-148.000000043289,3.58878252923174e-09
0.016007670614675,5.90248040930173e-05,1.14871630946966e-06,6.01769642765603e-06,77.0000000009976,-148.000000042248,9.10883028510482e-09
0.0171849067882278,7.34578239061114e-05,1.4239676404959e-06,5.78741540518527e-06,77.000000000967,-148.000000040031,1.60650493195882e-08
0.0183621429617806,6.31364793714446e-05,1.24307875171358e-06,4.69365638078446e-06,77.0000000009191,-148.000000036932,2.20674837168683e-08
0.0195393791353334,4.43110221048824e-05,8.67981412895283e-07,3.96034838531949e-06,77.0000000008555,-148.000000033025,2.71649430848839e-08
0.0207166153088862,3.63095073743881e-05,7.12401028547597e-07,2.81661200123407e-06,77.0000000007795,-148.000000028495,3.10746411702715e-08
0.0238027562656172,1.83232867326528e-05,4.5098900132797e-07,1.76817440343672e-06,77.0000000005367,-148.000000014499,3.81946204693656e-08
