TIME,STRA
0,0.889608412683488
5.74548004963942e-30,0.885816021277641
4.36651296554905e-15,0.250769789361313
8.7330259310981e-15,0.250769789361313
3.05655907588433e-14,0.250769789361313
5.23981555865885e-14,0.250769789361313
1.61560979725315e-13,0.250769789361313
2.70723803864041e-13,0.250769789361313
8.16537924557671e-13,0.250769789361313
1.3623520452513e-12,0.250769789361313
4.09142264871946e-12,0.250769789361305
6.82049325218761e-12,0.250769789361313
2.04658462695284e-11,0.250769789361313
3.41111992868691e-11,0.250769789361313
1.02337964373573e-10,0.250769789361321
1.70564729460277e-10,0.250769789361313
5.11698554893796e-10,0.250769789361313
8.52832380327315e-10,0.250769789361313
2.55850150749491e-09,0.250769789361305
4.26417063466251e-09,0.250769789361313
1.27925162705005e-08,0.250769789361313
2.13208619063385e-08,0.250769789361313
6.39625900855284e-08,0.250769789361313
1.06604318264718e-07,0.250769789361313
3.19812959160668e-07,0.250769789361321
5.33021600056617e-07,0.250769789361313
1.59906480453636e-06,0.250769789361313
2.66510800901611e-06,0.250769789361313
7.99532403141485e-06,0.250769789361305
1.33255400538136e-05,0.250769789361313
3.99766201658073e-05,0.250769789361297
6.6627700277801e-05,0.250769789361297
0.000142286977258757,0.250769789361146
0.000217946254239713,0.250769789360763
0.000316009852251027,0.250769789359758
0.000414073450262341,0.250769789357867
0.000579588089376499,0.250769789352212
0.000745102728490657,0.250769789342473
0.00102256763188883,0.250769789315217
0.001300032535287,0.250769789271816
0.00179747017101472,0.250769789150972
0.00229490780674245,0.250769788976676
0.00320519969095353,0.2507697885497
0.00320734777050052,0.250769788548559
0.0032094958500475,0.250769788547418
0.00322023624778242,0.250769788541691
0.00323097664551734,0.250769788535948
0.00328467863419195,0.250769788507129
0.00333838062286655,0.250769788478102
0.00360689056623957,0.250769788330919
0.00387540050961259,0.250769788182427
0.00460009797546288,0.25076978778955
0.00532479544131316,0.250769787411637
0.00566505923305371,0.250769787238498
0.00600532302479426,0.250769787068167
0.00634558681653481,0.250769786902646
0.00668585060827535,0.250769786746744
0.00722733243437702,0.250769786521534
0.00776881426047868,0.250769786317869
0.00831029608658035,0.250769786127796
0.00885177791268201,0.250769785947215
0.00939325973878367,0.250769785781
0.00993474156488534,0.250769785633553
0.010476223390987,0.250769785503017
0.0110177052170887,0.250769785387078
0.0115591870431903,0.250769785286557
0.012100668869292,0.250769785203481
0.0126421506953937,0.250769785137388
0.0131836325214953,0.250769785086354
0.013725114347597,0.250769785050547
0.0142665961736986,0.250769785030358
0.0151371333941868,0.250769785028117
0.016007670614675,0.250769785059656
0.0171849067882278,0.250769785152703
0.0183621429617806,0.250769785294398
0.0195393791353334,0.250769785479893
0.0207166153088862,0.250769785698004
0.0238027562656172,0.250769786384896
0.0268888972223482,0.250769787116218
0.0284444486111741,0.25076978748956
0.03,0.250769787845817
0.0338470430585425,0.250769788562701
0.0376940861170849,0.25076978892861
0.0415411291756274,0.250769788919452
0.0453881722341699,0.250769788597974
0.0470536279069925,0.250769788376058
0.0487190835798152,0.250769788134775
0.0503845392526378,0.250769787884288
0.0520499949254605,0.250769787644664
0.0560249974627302,0.250769787179528
0.0574453532049808,0.250769787063637
0.0588657089472313,0.250769786981725
0.0594328544736156,0.250769786958633
0.06,0.250769786941197
0.0628357276319218,0.250769786934999
0.0656714552638435,0.250769787046335
0.0699082511766254,0.250769787382379
0.0741450470894072,0.250769787802456
0.078381843002189,0.250769788234131
0.0826186389149708,0.250769788555937
0.0863093194574854,0.250769788722137
0.09,0.250769788766199
0.0951132046013365,0.250769788669731
0.100226409202673,0.250769788519381
0.100226888848374,0.250769788519349
0.100226888848375,0.250769788519357
0.10033627711825,0.250769788515576
0.100445665388126,0.250769788511827
0.100555053658002,0.250769788508102
0.100664441927878,0.250769788504393
0.100751084513103,0.250769788501473
0.100837727098329,0.250769788498594
0.101270940024458,0.250769788484443
0.101704152950587,0.250769788470875
0.10387021758123,0.250769788413955
0.106036282211874,0.25076978837952
0.110909274267217,0.250769788395545
0.11578226632256,0.2507697885277
0.11789113316128,0.250769788617803
0.12,0.250769788719305
0.120001291721716,0.250769788719369
0.120002583443431,0.250769788719441
0.120009042052009,0.25076978871976
0.120015500660587,0.250769788720063
0.120023462046572,0.250769788720406
0.120031423432556,0.250769788720685
0.120046676648826,0.25076978872106
0.120061929865096,0.250769788721211
0.120077183081366,0.250769788721211
0.120092436297636,0.250769788721163
0.120112786464042,0.250769788721116
0.120133136630449,0.250769788721219
0.120153486796855,0.250769788721482
0.120173836963262,0.25076978872224
0.120188513481531,0.250769788723269
0.1202031899998,0.250769788725231
0.120229164624022,0.250769788732402
0.120255139248245,0.250769788748491
0.120281113872467,0.250769788776824
0.120307088496689,0.250769788823877
0.120324665592016,0.250769788867437
0.120329851306758,0.25076978888237
0.120335037021501,0.250769788898275
0.120347235152907,0.250769788939681
0.120359433284312,0.250769788986743
0.120382401793767,0.250769789090797
0.120405370303222,0.250769789214736
0.120428338812677,0.25076978935825
0.120451307322132,0.250769789521171
0.1204885096731,0.250769789828843
0.120502974540974,0.250769789964277
0.120517439408847,0.250769790109936
0.12054111952596,0.250769790372389
0.120564799643074,0.250769790668127
0.120588479760188,0.250769790998787
0.120612159877301,0.250769791365772
0.120617962559202,0.250769791461236
0.120623765241103,0.250769791558805
0.120637292153342,0.25076979179436
0.120650819065582,0.250769792040812
0.120670493753694,0.250769792418015
0.120690168441807,0.250769792816092
0.120737772029465,0.250769793860502
0.120785375617124,0.250769795014836
0.120803872569181,0.250769795492886
0.120822369521239,0.250769795987305
