TIME,VX,VY,R,Fz_1,Fz_2,Fz_3,Fz_4,omega_1,omega_2,omega_3,omega_4,slip_1,slip_2,slip_3,slip_4,TAU_1,TAU_2,TAU_3,TAU_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.74548004963942e-30,-4.31727907916895e-56,7.36266267843323e-46,-8.83519521419191e-46,0,0,0,0,0,0,0,0,1.02510151905992e-43,-8.02526101098422e-44,9.2769549755491e-44,-9.27695497425391e-44,6.11370742581597e-44,8.83492595373153e-44,-3.22484625317104e-43,-3.22484625317104e-43
4.36651296554905e-15,-1.75024821117542e-29,1.93709923767364e-31,-1.05568318920807e-30,1.41248207273397e-30,1.41248207273397e-30,7.24279079336605e-28,7.24279079336605e-28,0,0,0,0,2.7418467242752e-27,2.52041434466514e-27,2.73621905162998e-27,2.51452558189628e-27,7.92480005928837e-29,8.63680480894294e-29,-2.82420453975042e-28,-2.82420453975042e-28
8.7330259310981e-15,-7.00099284469508e-29,-3.44271737523904e-31,-2.87979903771715e-30,5.64992830454621e-30,5.64992830454621e-30,2.89711631735812e-27,2.89711631735812e-27,0,5.44709986254408e-54,5.44709986254408e-54,5.44709986254408e-54,1.08217761619174e-26,1.02177234487157e-26,1.08038681660029e-26,1.01991103680823e-26,2.0877527965007e-28,2.25474818005686e-28,-6.3951100842353e-28,-6.3951100842353e-28
3.05655907588433e-14,-8.57621623470662e-28,-1.40095538197781e-29,-2.35268681696918e-29,6.92116226566424e-29,6.92116226566424e-29,3.5489674888433e-26,3.5489674888433e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,5.08963000020719e-24,5.08469502651632e-24,5.08945090083556e-24,5.08451025851993e-24,1.61060085189494e-27,1.71208949498349e-27,-3.54501528775932e-27,-3.54501528775932e-27
5.23981555865885e-14,-2.52035742406438e-27,-4.59671255281625e-29,-6.33847537838391e-29,2.03397424300708e-28,2.03397424300708e-28,1.04296187429481e-25,1.04296187429481e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,1.58111539988506e-23,1.57978584053326e-23,1.58106473918376e-23,1.5797336593543e-23,4.26940838572434e-27,4.5171722176078e-27,-8.31727207889701e-27,-8.31727207889701e-27
1.61560979725315e-13,-2.39608980100946e-26,-4.80139328451829e-28,-5.50836429076444e-28,1.9336881427582e-27,1.9336881427582e-27,9.91538059771029e-25,9.91538059771029e-25,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,1.5405951060789e-22,1.53943966432496e-22,1.54054871718686e-22,1.5393919606858e-22,3.64181754779377e-26,3.8319606514691e-26,-6.01798437105721e-26,-6.01798437105721e-26
2.70723803864041e-13,-6.72795412333683e-26,-1.37161877198681e-27,-1.51855851637931e-27,5.42958195789149e-27,5.42958195789149e-27,2.78412878171817e-24,2.78412878171817e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,4.33375761568943e-22,4.33057226340447e-22,4.3336283249091e-22,4.3304393520247e-22,9.99914916068819e-26,1.05083741949913e-25,-1.58711228133014e-25,-1.58711228133014e-25
8.16537924557671e-13,-6.12044296847336e-25,-1.26886245975552e-26,-1.35612251317074e-26,4.93931100908982e-26,4.93931100908982e-26,2.53273151463773e-23,2.53273151463773e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,3.94597543126075e-21,3.94313080369862e-21,3.94585868263899e-21,3.94301082536133e-21,8.89226307714872e-25,9.33329936106131e-25,-1.3514003419765e-24,-1.3514003419765e-24
1.3623520452513e-12,-1.70376161814155e-24,-3.54383114331633e-26,-3.76106520417858e-26,1.37496767437872e-25,1.37496767437872e-25,7.05042227957106e-23,7.05042227957106e-23,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,1.09852724581356e-20,1.09773831764602e-20,1.09849479423041e-20,1.09770497053753e-20,2.46407484938085e-24,2.58561865833792e-24,-3.71080977505409e-24,-3.71080977505409e-24
4.09142264871946e-12,-1.53666367021849e-23,-3.20676960602281e-25,-3.37959190845903e-25,1.24011856828264e-24,1.24011856828264e-24,6.35894581667422e-22,6.35894581667422e-22,1.92957972063237e-21,1.92957972063237e-21,1.92957972063237e-21,1.92957972063237e-21,9.90822179010466e-20,9.90113269221476e-20,9.90792953341791e-20,9.90083239041015e-20,2.2122523430122e-23,2.32077001791357e-23,-3.30086617126746e-23,-3.30086617126746e-23
6.82049325218761e-12,-4.27033258968799e-23,-8.91732634367003e-25,-9.3847673633048e-25,3.44625007411058e-24,3.44625007411058e-24,1.76712797822277e-21,1.76712797822277e-21,5.36224767800341e-21,5.36224767800341e-21,5.36224767800341e-21,5.36224767800341e-21,2.75346597071361e-19,2.75149740350895e-19,2.75338477761815e-19,2.75141397647186e-19,6.14213151047708e-23,6.44308448545778e-23,-9.14745215642648e-23,-9.14745215642648e-23
2.04658462695284e-11,-3.84493982576187e-22,-8.03426635218484e-24,-8.44359954301916e-24,3.1029750165546e-23,3.1029750165546e-23,1.59109406956206e-20,1.59109406956206e-20,4.8280899126824e-20,4.8280899126824e-20,4.8280899126824e-20,4.8280899126824e-20,2.47917999268303e-18,2.47740884659396e-18,2.47910690928564e-18,2.4773337533816e-18,5.52520418516537e-22,5.79562514114337e-22,-8.21323937496871e-22,-8.21323937496871e-22
3.41111992868691e-11,-1.06812998810248e-21,-2.23222256029694e-23,-2.34529474306822e-23,8.62018022108017e-23,8.62018022108017e-23,4.42008300509569e-20,4.42008300509569e-20,1.3412506971975e-19,1.3412506971975e-19,1.3412506971975e-19,1.3412506971975e-19,6.88719920620841e-18,6.88227966966019e-18,6.88699619143284e-18,6.8820710724724e-18,1.53462809364665e-21,1.60972075633549e-21,-2.28037354291832e-21,-2.28037354291832e-21
1.02337964373573e-10,-9.61399012919547e-21,-2.0094340235891e-22,-2.11063060465973e-22,7.7591496518718e-22,7.7591496518718e-22,3.97841447567535e-19,3.97841447567535e-19,1.20722869487257e-18,1.20722869487257e-18,1.20722869487257e-18,1.20722869487257e-18,6.1990081773671e-17,6.19458087690178e-17,6.19882545926725e-17,6.19439313499746e-17,1.38102948737959e-20,1.44859103822076e-20,-2.0513624157997e-20,-2.0513624157997e-20
1.70564729460277e-10,-2.67059835015485e-20,-5.58200207198573e-22,-5.86278789770965e-22,2.15544309315954e-21,2.15544309315954e-21,1.10513406801352e-18,1.10513406801352e-18,3.35347023710935e-18,3.35347023710935e-18,3.35347023710935e-18,3.35347023710935e-18,1.72197606630049e-16,1.72074627632283e-16,1.72192531100663e-16,1.72069412554811e-16,3.83611752432202e-20,4.02377635940096e-20,-5.69768784652456e-20,-5.69768784652456e-20
5.11698554893796e-10,-2.40357933926748e-19,-5.02401834109112e-21,-5.27644135313505e-21,1.94033861378538e-20,1.94033861378538e-20,9.94637986053668e-18,9.94637986053668e-18,3.01817448328704e-17,3.01817448328704e-17,3.01817448328704e-17,3.01817448328704e-17,1.54980476913652e-15,1.54869797236671e-15,1.54975908913556e-15,1.5486510364514e-15,3.45243759519968e-19,3.62131960985212e-19,-5.12743173588744e-19,-5.12743173588744e-19
8.52832380327315e-10,-6.67663153893715e-19,-1.39557258970127e-20,-1.46567429789002e-20,5.39093490733422e-20,5.39093490733422e-20,2.76289365989108e-17,2.76289365989108e-17,8.38384596658451e-17,8.38384596658452e-17,8.38384596658451e-17,8.38384596658452e-17,4.30502759399738e-15,4.30195316661232e-15,4.30490070498235e-15,4.30182278895679e-15,9.59006595566913e-19,1.00591765576028e-18,-1.42425943038415e-18,-1.42425943038415e-18
2.55850150749491e-09,-6.00898643363174e-18,-1.25602566061018e-19,-1.31910296142033e-19,4.85694203063883e-19,4.85694203063885e-19,2.4866171527231e-16,2.4866171527231e-16,7.54548403423599e-16,7.54548403423605e-16,7.54548403423599e-16,7.54548403423605e-16,3.87453646397143e-14,3.87176948751848e-14,3.87442226378457e-14,3.87165214756562e-14,8.6310218761137e-18,9.05321578324274e-18,-1.28180861649351e-17,-1.28180861649351e-17
4.26417063466251e-09,-1.6691633796691e-17,-3.48896481762408e-19,-3.66417157816703e-19,1.35051027323928e-18,1.3505102732393e-18,6.90728626667365e-16,6.90728626667365e-16,2.0959683918438e-15,2.09596839184385e-15,2.0959683918438e-15,2.09596839184385e-15,1.07626043884073e-13,1.07549183496571e-13,1.07622871657243e-13,1.07545924054104e-13,2.39750324553128e-17,2.51477898118626e-17,-3.56056456116476e-17,-3.56056456116476e-17
1.27925162705005e-08,-1.50224498933794e-16,-3.14006732455285e-18,-3.29774598058053e-18,1.22181513074118e-17,1.22181513074133e-17,6.21661652353202e-15,6.21661652353202e-15,1.88636897550628e-14,1.88636897550664e-14,1.88636897550627e-14,1.88636897550663e-14,9.68633071185684e-13,9.67941329468611e-13,9.68604521196666e-13,9.67911994540924e-13,2.15774680261458e-16,2.26329447536705e-16,-3.20448936656398e-16,-3.20448936656398e-16
2.13208619063385e-08,-4.17289509090847e-16,-8.72239505077485e-18,-9.16038650644044e-18,3.41091614719491e-17,3.41091614719601e-17,1.72685276218654e-14,1.72685276218655e-14,5.23990420562279e-14,5.23990420562544e-14,5.23990420562273e-14,5.23990420562537e-14,2.69064248239253e-12,2.68872098160814e-12,2.69056317702027e-12,2.68863949585525e-12,5.99372835832348e-16,6.28691560844061e-16,-8.90133503929478e-16,-8.90133503929478e-16
6.39625900855284e-08,-3.75556760348826e-15,-7.8500778009639e-17,-8.24426251663272e-17,3.14926192832294e-16,3.14926192833229e-16,1.55423599671192e-13,1.55423599671193e-13,4.71586609558086e-13,4.71586609560331e-13,4.71586609558037e-13,4.71586609560286e-13,2.42155374583297e-11,2.41982441303796e-11,2.42148237172395e-11,2.41975107660672e-11,5.39429938431428e-15,5.65816506836435e-15,-8.01111333847267e-15,-8.01111333847267e-15
1.06604318264718e-07,-1.04320295903743e-14,-2.18055580344404e-16,-2.29005027922658e-16,8.96025331541086e-16,8.96025331547972e-16,4.3175048656367e-13,4.31750486563677e-13,1.30994991560161e-12,1.30994991561815e-12,1.3099499156012e-12,1.30994991561775e-12,6.72647200033209e-11,6.72166834566978e-11,6.72627374085845e-11,6.72146463535506e-11,1.49840166319682e-14,1.5716969557295e-14,-2.22528696497774e-14,-2.22528696497774e-14
3.19812959160668e-07,-9.38834466490658e-14,-1.96239956312024e-15,-2.0609393414955e-15,9.05711341097975e-15,9.05711341156418e-15,3.88660814973074e-12,3.88660814973133e-12,1.17889440332175e-11,1.17889440346209e-11,1.17889440331874e-11,1.17889440345924e-11,6.05351403189102e-10,6.04919096548241e-10,6.05333560737145e-10,6.04900763545869e-10,1.34849217233342e-13,1.41445453984774e-13,-2.00265507490885e-13,-2.00265507490885e-13
5.33021600056617e-07,-2.60774431829982e-13,-5.45083988904315e-15,-5.72454777930627e-15,2.78120443432821e-14,2.7812044347585e-14,1.07984151460809e-11,1.07984151460852e-11,3.27454443902644e-11,3.27454444005968e-11,3.2745444390007e-11,3.27454444003511e-11,1.68144836838786e-09,1.68024757644494e-09,1.68139880838865e-09,1.6801966538736e-09,3.74562587691469e-13,3.92884558887002e-13,-5.56265483677033e-13,-5.56265483677033e-13
1.59906480453636e-06,-2.346360349666e-12,-4.90448192694898e-14,-5.15075428648617e-14,3.74370908900868e-13,3.74370909265948e-13,9.72924028359931e-11,9.72924028363582e-11,2.94632459232878e-10,2.94632460109556e-10,2.94632459214223e-10,2.94632460091895e-10,1.51291050428652e-08,1.5118300762783e-08,1.51286591089541e-08,1.51178425689543e-08,3.37018660784213e-12,3.53504146535464e-12,-5.00508739714333e-12,-5.00508739714333e-12
2.66510800901611e-06,-6.51601776508673e-12,-1.36201126450368e-13,-1.4304025853467e-13,1.37134682663918e-12,1.3713468293262e-12,2.70541626320188e-10,2.70541626322875e-10,8.18216319811634e-10,8.18216326264105e-10,8.18216319652988e-10,8.1821632611278e-10,4.20146533840347e-08,4.19846493000686e-08,4.20134149372574e-08,4.19833768068245e-08,9.35925383422591e-12,9.81706780023382e-12,-1.38994930807656e-11,-1.38994930807656e-11
7.99532403141485e-06,-5.85637486812392e-11,-1.22412978473861e-12,-1.28559336409215e-12,2.7819894448074e-11,2.78198946756413e-11,2.44818163169757e-09,2.44818163192514e-09,7.35384923823677e-09,7.35384978471183e-09,7.35384922703382e-09,7.35384977412899e-09,3.77613375950088e-07,3.77343734741034e-07,3.77602239148347e-07,3.77332291970315e-07,8.41170783184999e-11,8.82317212978931e-11,-1.24922939671325e-10,-1.24922939671325e-10
1.33255400538136e-05,-1.62449291305415e-10,-3.3956014188922e-12,-3.56607299009569e-12,1.18552118261544e-10,1.18552119933607e-10,6.83598902407604e-09,6.83598902574812e-09,2.0398753562933e-08,2.0398757578042e-08,2.03987534711806e-08,2.03987574908455e-08,1.04745718140538e-06,1.04670935617698e-06,1.04742625522447e-06,1.04667758142105e-06,2.3332774938133e-10,2.44741140007783e-10,-3.46517304789137e-10,-3.46517304789137e-10
3.99766201658073e-05,-1.44940579345678e-09,-3.02965215523122e-11,-3.18149143766639e-11,2.98306879876131e-09,2.983068938929e-09,6.31709981941472e-08,6.31709983342975e-08,1.82001603700009e-07,1.82001939825747e-07,1.82001598363751e-07,1.82001934870858e-07,9.34561434055338e-06,9.33895763249124e-06,9.3453347555957e-06,9.33867049423688e-06,2.08136226934182e-09,2.18317454841993e-09,-3.09110121755247e-09,-3.09110121755247e-09
6.6627700277801e-05,-3.98468902621605e-09,-8.32922067357205e-11,-8.74534662233244e-11,1.33509149975525e-08,1.33509160162189e-08,1.79827767024793e-07,1.79827768043689e-07,5.00355341616007e-07,5.00357778681094e-07,5.00355313411856e-07,5.00357753241375e-07,2.56927833040727e-05,2.5674561071565e-05,2.56919952488608e-05,2.56737523408103e-05,5.71985485081592e-09,5.99965322382126e-09,-8.49500088323933e-09,-8.49500088323936e-09
0.000142286977258757,-1.75104557103812e-08,-3.66052158174514e-10,-3.84053546165602e-10,1.21647705568718e-07,1.21647723898768e-07,8.72321918597624e-07,8.72321936923148e-07,2.19874925099458e-06,2.19879256088573e-06,2.19874958840477e-06,2.19879294738423e-06,0.00011290366014909,0.000112825271608009,0.000112899767254212,0.000112821289783601,2.50876277914238e-08,2.63149474578224e-08,-3.72650273535282e-08,-3.72650273535306e-08
0.000217946254239713,-3.89483380370132e-08,-8.14326201713799e-10,-8.53236110955506e-10,4.30149037937595e-07,4.30149134085942e-07,2.17094220558056e-06,2.17094230183867e-06,0,0,4.89053434549536e-06,4.89075689205834e-06,5.93922872146247e-06,5.76025204817322e-06,0.0002511133333998,0.0002509453109405,5.56125086549148e-08,5.83335632783014e-08,-8.26277363718207e-08,-8.26277363718464e-08
0.000316009852251027,-7.77156859563328e-08,-1.6597537074748e-09,-1.73567780116788e-09,1.2381564975821e-06,1.23815685844579e-06,4.85059882438725e-06,4.85059918580848e-06,0,0,9.55054923139873e-06,9.55136571712538e-06,1.18548429707062e-05,1.14907715250106e-05,0.00049063668364129,0.000490313124130083,1.23010639338825e-07,1.28730767180887e-07,-1.6759961615559e-07,-1.67599616155801e-07
0.000414073450262341,-1.2604136017121e-07,-2.80496909258818e-09,-2.9250786228392e-09,2.72602531532204e-06,2.72602632970223e-06,8.84297110039466e-06,8.84297211615958e-06,0,0,0,0,1.92397094163675e-05,1.86261783583095e-05,1.92133372800289e-05,1.85990707693302e-05,2.39082810750345e-07,2.49324743097457e-07,-2.81273505577791e-07,-2.81273505578759e-07
0.000579588089376499,-2.34485499142379e-07,-5.36929579865722e-09,-5.5661102697898e-09,7.17845605757216e-06,7.17845962073591e-06,1.89003257839213e-05,1.89003293507028e-05,0,0,0,0,3.58083351315575e-05,3.46408827008538e-05,3.57572664429117e-05,3.45883832868986e-05,4.92960773327985e-07,5.131041374619e-07,-5.30472094850439e-07,-5.30472094856901e-07
0.000745102728490657,-3.77363077569346e-07,-8.62594854262712e-09,-8.867899426624e-09,1.48558916429114e-05,1.48559010320752e-05,3.37977863551381e-05,3.37977957504452e-05,0,0,0,0,5.76169120398045e-05,5.57569220174349e-05,5.75355910469807e-05,5.56733321700418e-05,7.72641090568475e-07,8.04271217157668e-07,-8.3440358058629e-07,-8.34403580612351e-07
0.00102256763188883,-6.83791486454968e-07,-1.54311050254352e-08,-1.55941771191124e-08,3.64681415654288e-05,3.64681719407539e-05,7.09116014190072e-05,7.09116318083678e-05,0,0,0,0,0.00010434814767765,0.000101077289153518,0.000104206111398113,0.000100931334218412,1.27263554933151e-06,1.32578911577257e-06,-1.42793675247357e-06,-1.42793675261568e-06
0.001300032535287,-1.05330725801491e-06,-2.35096711029884e-08,-2.32214309150194e-08,7.18322514592525e-05,7.18323259480185e-05,0.000125606032488983,0.00012560610698761,0,0,0,0,0.000160644636903789,0.000155773857530371,0.000160434338336543,0.000155557837898496,1.75702550810163e-06,1.83189217188782e-06,-2.04669274634906e-06,-2.04669274681629e-06
0.00179747017101472,-1.82641191931475e-06,-4.02479073549523e-08,-3.78214592011782e-08,0.00017532445865573,0.000175324694656677,0.000272431538204943,0.000272431774194049,0,0,0,0,0.000278273461979421,0.000270339946694527,0.00027793303793268,0.000269990531765396,2.46692663967027e-06,2.57531730832195e-06,-3.03996407024132e-06,-3.03996407220126e-06
0.00229490780674245,-2.65498385128257e-06,-5.81697451814097e-08,-5.13755263999173e-08,0.000339690383658353,0.000339690935676099,0.000489673971785616,0.000489674523041862,0,0,0,0,0.000404103773015755,0.000393326664502145,0.000403641998221543,0.000392853138438107,2.79501376299251e-06,2.9209781690013e-06,-3.60466447174616e-06,-3.60466447633518e-06
0.00320519969095353,-4.19765904587762e-06,-9.1730135779043e-08,-6.93762633820252e-08,0.000813737364002118,0.000813738993716179,0.0010811736364563,0.00108117525765685,0,0,0,0,0.000637560014872094,0.000623005352327545,0.000636933326256201,0.0006223643135132,1.94814604940531e-06,2.0433931789572e-06,-2.89078267108161e-06,-2.89078267893885e-06
0.00320734777050052,-4.20123295624253e-06,-9.18083974115472e-08,-6.9404885930348e-08,0.000815134318529172,0.000815135951634771,0.0010828758085343,0.00108287743309501,0,0,0,0,0.000638099379449843,0.000623538707623673,0.000637472418081228,0.000622897394608514,1.94357335246018e-06,2.0386346330858e-06,-2.88591283780243e-06,-2.88591284565636e-06
0.0032094958500475,-4.20480619940244e-06,-9.18866471205049e-08,-6.94334276869682e-08,0.000816532637125622,0.000816534273627144,0.00108457945280021,0.00108458108072539,0,0,0,0,0.000638638634780486,0.000624071970612276,0.000638011401342232,0.000623430384106066,1.93898640913418e-06,2.03386121398019e-06,-2.88102540304847e-06,-2.88102541089899e-06
0.00322023624778242,-4.22266237130195e-06,-9.22777169022006e-08,-6.95749240394605e-08,0.000823544693609078,0.000823546347156033,0.00109311975646987,0.00109312140128185,0,0,0,0,0.000641333267295455,0.000626736895627309,0.000640704683754855,0.000626093952311906,1.91583811860978e-06,2.00977114126547e-06,-2.85632406042476e-06,-2.85632406825695e-06
0.00323097664551734,-4.24050170801478e-06,-9.26684887741404e-08,-6.97143984034828e-08,0.000830590861742615,0.000830592532444789,0.00110169686269657,0.00110169852450296,0,0,0,0,0.000644025145145095,0.000629399489927691,0.000643395228577059,0.000628755207544992,1.89233420663675e-06,1.98530977544941e-06,-2.83118212707925e-06,-2.83118213489093e-06
0.00328467863419195,-4.32943965481351e-06,-9.46178485528624e-08,-7.03813904411689e-08,0.000866333642722353,0.000866335400851953,0.00114513433441526,0.0011451360828127,0,0,0,0,0.000657442277999351,0.000642676574796618,0.000656805952241721,0.000642025863019582,1.76950396302409e-06,1.85745750816e-06,-2.69885625046007e-06,-2.69885625813556e-06
0.00333838062286655,-4.41792623759588e-06,-9.65595110155631e-08,-7.09976910514839e-08,0.00090293018955908,0.000902932037878514,0.00118949136303802,0.00118949320073677,0,0,0,0,0.000670785957836785,0.000655890835250632,0.000670143648613632,0.000655234136402993,1.63790587555063e-06,1.72044808687029e-06,-2.5555190299917e-06,-2.55551903747303e-06
0.00360689056623957,-4.85172906669182e-06,-1.06121408584053e-07,-7.33286312592336e-08,0.00109872820829321,0.00109873054937151,0.00142503554854445,0.00142503787385302,0,0,0,0,0.000736124779174115,0.000720739938083041,0.000735458807351251,0.000720059798411763,8.57316538945739e-07,9.07275670052825e-07,-1.68066007992969e-06,-1.68066008551037e-06
0.00387540050961259,-5.26350083643663e-06,-1.15283316827376e-07,-7.44975477656631e-08,0.00131584475118384,0.00131584765495914,0.0016833716162842,0.00168337449817479,0,0,0,0,0.000798027281870421,0.000782396399100013,0.000797347292881065,0.000781702812184635,-8.52410243494776e-08,-7.53614003882438e-08,-5.86913884372934e-07,-5.86913886520903e-07
0.00460009797546288,-6.14733942541713e-06,-1.35345439276431e-07,-7.37134672205103e-08,0.00200689664325387,0.00200690140183181,0.00249213710969973,0.00249214182725431,0,0,0,0,0.00093052492734347,0.000915056361096116,0.000929840708767898,0.000914360886501522,-2.72555824583973e-06,-2.83058235314606e-06,2.6105834241479e-06,2.6105834351889e-06
0.00532479544131316,-6.38275396138708e-06,-1.41206067929958e-07,-7.23279523762177e-08,0.00284567574036546,0.00284568274189939,0.00345624718652824,0.00345625412725703,0,0,0,0,0.000965685830999563,0.000950507245550994,0.000965007396073764,0.000949818532262765,-3.59311394162928e-06,-3.73906296770982e-06,3.82220109186644e-06,3.82220110833535e-06
