TIME,AX,AY,AngACC,X,Y,R,PSI
0,0,1.30673615416864e-17,-1.53776449275335e-16,77,-148,0,1.5707963267949
5.74548004963942e-30,-1.03197762216461e-30,1.30673615416862e-17,-1.53776449275337e-16,77,-148,-8.83519521424987e-46,1.5707963267949
4.36651296554905e-15,-7.8429367579387e-16,-1.48440975997519e-16,-1.84691750245839e-15,77,-148,-4.36802804017055e-30,1.5707963267949
8.7330259310981e-15,-1.56858735158559e-15,-3.09949313536279e-16,-3.54005855563677e-15,77,-148,-1.61291784415546e-29,1.5707963267949
3.05655907588433e-14,-5.4900557305119e-15,-1.11749100122343e-15,-1.2005763821459e-14,77,-148,-1.85831765865852e-28,1.5707963267949
5.23981555865885e-14,-9.41152410938442e-15,-1.92503268889952e-15,-2.04714690871652e-14,77,-148,-5.40362412317095e-28,1.5707963267949
1.61560979725315e-13,-2.90188660029401e-14,-5.96274112711376e-15,-6.2799995413954e-14,77,-148,-5.08543652987435e-27,1.5707963267949
2.70723803864041e-13,-4.86262078951509e-14,-1.00004495650511e-14,-1.0512852173784e-13,77,-148,-1.42512121226815e-26,1.5707963267949
8.16537924557671e-13,-1.46662917336032e-13,-3.01889917505834e-14,-3.16771153313718e-13,77,-148,-1.2939061220257e-25,1.5707963267949
1.3623520452513e-12,-2.44699626743292e-13,-5.03775339291922e-14,-5.28413784817015e-13,77,-148,-3.60047549110728e-25,1.5707963267949
4.09142264871946e-12,-7.34883173275276e-13,-1.51320244718381e-13,-1.58662694124476e-12,77,-148,-3.24609528446375e-24,1.5707963267949
6.82049325218761e-12,-1.22506671896673e-12,-2.52262955334484e-13,-2.64484009585798e-12,77,-148,-9.02008143390137e-24,1.5707963267949
2.04658462695284e-11,-3.67598443481603e-12,-7.5697650581866e-13,-7.9359058417059e-12,77,-148,-8.12090881908832e-23,1.5707963267949
3.41111992868691e-11,-6.12690212965207e-12,-1.2616900519756e-12,-1.32269715421901e-11,77,-148,-2.25596554472213e-22,1.5707963267949
1.02337964373573e-10,-1.8381490288633e-11,-3.78525771785188e-12,-3.96822993641563e-11,77,-148,-2.03051075355966e-21,1.5707963267949
1.70564729460277e-10,-3.06360779222814e-11,-6.30882527554719e-12,-6.61376260520283e-11,77,-148,-5.64038633728481e-21,1.5707963267949
5.11698554893796e-10,-9.19090082105053e-11,-1.89266614413047e-11,-1.98414242479927e-10,77,-148,-5.07641818774098e-20,1.5707963267949
8.52832380327315e-10,-1.53181925365296e-10,-3.15444949025153e-11,-3.30690830555226e-10,77,-148,-1.41011999099513e-19,1.5707963267949
2.55850150749491e-09,-4.59546314134179e-10,-9.46336216396353e-11,-9.92073345634787e-10,77,-148,-1.26911101692266e-18,1.5707963267949
4.26417063466251e-09,-7.6591037455253e-10,-1.57722680760078e-10,-1.65345515186667e-09,77,-148,-3.52530895999383e-18,1.5707963267949
1.27925162705005e-08,-2.29772575093886e-09,-4.73166962020381e-10,-4.96035354931328e-09,77,-148,-3.17277333589696e-17,1.5707963267949
2.13208619063385e-08,-3.82953291672348e-09,-7.88609552486903e-10,-8.26723422147024e-09,77,-148,-8.81324287540456e-17,1.5707963267949
6.39625900855284e-08,-1.14884455306888e-08,-2.3657971314495e-09,-2.4801371578261e-08,77,-148,-7.93183817864236e-16,1.5707963267949
1.06604318264718e-07,-1.9147152649818e-08,-3.94294239347139e-09,-4.13350652906974e-08,77,-148,-2.20326669316429e-15,1.5707963267949
3.19812959160668e-07,-5.74375988326248e-08,-1.18280325168075e-08,-1.23996863609127e-07,77,-148,-1.98283821250143e-14,1.5707963267949
5.33021600056617e-07,-9.57228789281753e-08,-1.9712058831204e-08,-2.06647506821995e-07,77,-148,-5.50761099850002e-14,1.5707963267949
1.59906480453636e-06,-2.87070915080089e-07,-5.91160543441151e-08,-6.19731450713735e-07,77,-148,-4.95556196552698e-13,1.5707963267949
2.66510800901611e-06,-4.78286214442534e-07,-9.84927199675576e-08,-1.03252852837497e-06,77,-148,-1.376196239479e-12,1.5707963267949
7.99532403141485e-06,-1.43226302588863e-06,-2.94943835294201e-07,-3.09196882444215e-06,77,-148,-1.23687473871366e-11,1.5707963267949
1.33255400538136e-05,-2.38247655437225e-06,-4.90620528673169e-07,-5.14324605121983e-06,77,-148,-3.43093394425898e-11,1.5707963267949
3.99766201658073e-05,-7.06386164279869e-06,-1.45467551227302e-06,-1.52476954137798e-05,77,-148,-3.06092933324374e-10,1.57079632679489
6.6627700277801e-05,-1.15979453583557e-05,-2.38846277058337e-06,-2.50294739108905e-05,77,-148,-8.41395807525102e-10,1.57079632679488
0.000142286977260787,-2.33485268225417e-05,-4.80917230393794e-06,-5.03310905009817e-05,77.0000000000002,-148.000000000001,-3.69503910483501e-09,1.5707963267947
