TIME,VX,VY,R,Fz_1,Fz_2,Fz_3,Fz_4,omega_1,omega_2,omega_3,omega_4,slip_1,slip_2,slip_3,slip_4,TAU_1,TAU_2,TAU_3,TAU_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.74548004963942e-30,-4.34017977539147e-56,7.36266267846729e-46,-8.83519521415606e-46,0,0,0,0,0,0,0,0,9.20425073721695e-44,-9.3484806707553e-44,9.27695497551488e-44,-9.27695497421283e-44,7.59884855029242e-44,7.42068999811988e-44,-3.22484625316755e-43,-3.22484625316755e-43
4.36651296554905e-15,-1.75097262890217e-29,6.43625158783247e-31,-5.83192995378373e-31,1.41248207273397e-30,1.41248207273397e-30,7.24279079336605e-28,7.24279079336605e-28,0,0,0,0,2.68732022254694e-27,2.56485754067192e-27,2.68769420786799e-27,2.56522367883853e-27,5.1791631884118e-29,5.05026253582767e-29,-2.36510092708297e-28,-2.36510092708297e-28
8.7330259310981e-15,-7.00389051560209e-29,1.45538920253793e-30,-9.89838262400134e-31,5.64992830454621e-30,5.64992830454621e-30,2.89711631735812e-27,2.89711631735812e-27,0,5.44709986254408e-54,5.44709986254408e-54,5.44709986254408e-54,1.06093779409651e-26,1.0401525380857e-26,1.06097687909552e-26,1.04019027558511e-26,9.16654016725751e-29,8.92173533926946e-29,-4.55869563356722e-28,-4.55869563356722e-28
3.05655907588433e-14,-8.5797658815677e-28,8.0362926958641e-30,-3.74848672179469e-31,6.92116226566424e-29,6.92116226566424e-29,3.5489674888433e-26,3.5489674888433e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,5.08707806512769e-24,5.08699935523104e-24,5.08707318349124e-24,5.08699446527008e-24,1.1226631918128e-28,1.05972533708221e-28,-1.29540758570269e-27,-1.29540758570269e-27
5.23981555865885e-14,-2.52140058559089e-27,1.88206683133991e-29,4.6538341268755e-30,2.03397424300708e-28,2.03397424300708e-28,1.04296187429481e-25,1.04296187429481e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,1.58036788964752e-23,1.5804656149333e-23,1.5803659814336e-23,1.58046371195026e-23,-1.65079315696065e-28,-1.7196971906731e-28,-1.70618005655974e-27,-1.70618005655974e-27
1.61560979725315e-13,-2.39708152887735e-26,1.35794628261859e-28,9.6002646252202e-29,1.9336881427582e-27,1.9336881427582e-27,9.91538059771029e-25,9.91538059771029e-25,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,1.53988665212476e-22,1.54008824580471e-22,1.53988441207579e-22,1.54008601763292e-22,-6.0210057757073e-27,-5.98214247914639e-27,2.67144086124959e-27,2.67144086124959e-27
2.70723803864041e-13,-6.7307387850783e-26,3.578553913059e-28,2.97693788588266e-28,5.42958195789149e-27,5.42958195789149e-27,2.78412878171817e-24,2.78412878171817e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,4.33176955119563e-22,4.3323946710497e-22,4.331763029915e-22,4.33238818687104e-22,-1.93255960446867e-26,-1.91597510658263e-26,1.77682005652989e-26,1.77682005652989e-26
8.16537924557671e-13,-6.12297618482156e-25,3.04446125266656e-27,2.96128445312173e-27,4.93931100908982e-26,4.93931100908982e-26,2.53273151463773e-23,2.53273151463773e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,3.94416795812781e-21,3.94478979073431e-21,3.94416181737781e-21,3.94478368711296e-21,-1.97578504503319e-25,-1.95559331377677e-25,2.5403908084923e-25,2.5403908084923e-25
1.3623520452513e-12,-1.70446679533326e-24,8.35823719021191e-27,8.38343337165855e-27,1.37496767437872e-25,1.37496767437872e-25,7.05042227957106e-23,7.05042227957106e-23,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,1.09802415492966e-20,1.09820019650808e-20,1.09802243399145e-20,1.09819848609225e-20,-5.62048008100758e-25,-5.56144807270081e-25,7.58288430666267e-25,7.58288430666267e-25
