TIME,AX,AY,AngACC,X,Y,R,PSI
0,0,1.30673615416864e-17,-1.53776449275335e-16,77,-148,0,1.5707963267949
5.74548004963942e-30,-1.07608230564126e-30,1.30673615416864e-17,-1.53776449275335e-16,77,-148,-8.83519521415606e-46,1.5707963267949
4.36651296554905e-15,-8.1781283704378e-16,1.69939260198056e-17,-1.13344248626931e-16,77,-148,-5.83192995378373e-31,1.5707963267949
8.7330259310981e-15,-1.63562567408532e-15,2.09204904979141e-17,-7.29120479786376e-17,77,-148,-9.89838262400134e-31,1.5707963267949
3.05655907588433e-14,-5.72468985925934e-15,4.05533128882948e-17,1.29248955261164e-16,77,-148,-3.74848672179469e-31,1.5707963267949
5.23981555865885e-14,-9.81375404437726e-15,6.01861352784062e-17,3.31409958498192e-16,77,-148,4.6538341268755e-30,1.5707963267949
1.61560979725315e-13,-3.02590749691255e-14,1.58350247224923e-16,1.34221497464174e-15,77,-148,9.6002646252202e-29,1.5707963267949
2.70723803864041e-13,-5.07043958924714e-14,2.56514359164707e-16,2.35301999071596e-15,77,-148,2.97693788588266e-28,1.5707963267949
8.16537924557671e-13,-1.52931000488166e-13,7.47334918762634e-16,7.40704507004708e-15,77,-148,2.96128445312173e-27,1.5707963267949
1.3623520452513e-12,-2.55157605048803e-13,1.23815547819224e-15,1.2461070147645e-14,77,-148,8.38343337165855e-27,1.5707963267949
4.09142264871946e-12,-7.66290627326114e-13,3.69225827281652e-15,3.77311955096473e-14,77,-148,7.6872551735903e-26,1.5707963267949
6.82049325218761e-12,-1.27742364872697e-12,6.1463610632304e-15,6.30013208282945e-14,77,-148,2.14325626292094e-25,1.5707963267949
2.04658462695284e-11,-3.83308874258447e-12,1.84168749521838e-14,1.8935194677162e-13,77,-148,1.93605033714102e-24,1.5707963267949
3.41111992868691e-11,-6.38875381453063e-12,3.06873887359344e-14,3.15702571631661e-13,77,-148,5.38187393302157e-24,1.5707963267949
1.02337964373573e-10,-1.91670788455912e-11,9.20399560766142e-14,9.474556796823e-13,77,-148,4.84724745864944e-23,1.5707963267949
1.70564729460277e-10,-3.19454033288675e-11,1.53392520787275e-13,1.57920876065139e-12,77,-148,1.3466554489487e-22,1.5707963267949
5.11698554893796e-10,-9.58370175284548e-11,4.60155304889129e-13,4.73797375926147e-12,77,-148,1.21216786608448e-21,1.5707963267949
8.52832380327315e-10,-1.59728618033312e-10,7.66918023238517e-13,7.89673808081212e-12,77,-148,3.36723161978367e-21,1.5707963267949
2.55850150749491e-09,-4.79186415132917e-10,2.30073062868084e-12,2.36905495324833e-11,77,-148,3.03059624787379e-20,1.5707963267949
4.26417063466251e-09,-7.98643869848935e-10,3.83454159023573e-12,3.9484344056858e-11,77,-148,8.41836905412198e-20,1.5707963267949
1.27925162705005e-08,-2.39592600720851e-09,1.15035717374946e-11,1.18453062745739e-10,77,-148,7.576561141277e-19,1.5707963267949
2.13208619063385e-08,-3.99319958306094e-09,1.91725607784389e-11,1.97421358154744e-10,77,-148,2.10459864081667e-18,1.5707963267949
6.39625900855284e-08,-1.19794389813798e-08,5.75168891094577e-11,5.92256483023566e-10,77,-148,1.89412158917604e-17,1.5707963267949
1.06604318264718e-07,-1.99654641023504e-08,9.58601886364576e-11,9.87081013660869e-10,77,-148,5.26139818256524e-17,1.5707963267949
3.19812959160668e-07,-5.9892368256248e-08,2.87561219345706e-10,2.96104438120609e-09,77,-148,4.73501624564869e-16,1.5707963267949
5.33021600056617e-07,-9.9813885525895e-08,4.79236386726561e-10,4.9347413640884e-09,77,-148,1.31521717175148e-15,1.5707963267949
1.59906480453636e-06,-2.99339758072284e-07,1.43721991936973e-09,1.47991840285479e-08,77,-148,1.18338794472692e-14,1.5707963267949
2.66510800901611e-06,-4.98727219842705e-07,2.39453898990928e-09,2.46567762295355e-08,77,-148,3.28635593683578e-14,1.5707963267949
