TIME,VX,VY,R,Fz_1,Fz_2,Fz_3,Fz_4,omega_1,omega_2,omega_3,omega_4,slip_1,slip_2,slip_3,slip_4,TAU_1,TAU_2,TAU_3,TAU_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.74540024354647e-30,-4.27446473405726e-56,7.36256040926574e-46,-8.83507249123801e-46,0,0,0,0,0,0,0,0,1.07542897663252e-43,-7.04042898350189e-44,9.27682611644108e-44,-9.27682611515874e-44,5.17706721512836e-44,9.63790086235162e-44,-3.22480145928698e-43,-3.22480145928698e-43
4.36651296554905e-15,-1.72465558357186e-29,-1.56911676881763e-30,-2.92194448124798e-30,1.41248207273397e-30,1.41248207273397e-30,7.24279079336605e-28,7.24279079336605e-28,0,0,0,0,3.01143756045721e-27,2.42165066610273e-27,2.89378754588883e-27,2.28017920482675e-27,1.6127673401016e-28,2.35765269309793e-28,-4.65899160176872e-28,-4.65899160176872e-28
8.7330259310981e-15,-6.89862233428094e-29,-7.39557850785722e-30,-1.03448442058698e-29,5.64992830454621e-30,5.64992830454621e-30,2.89711631735812e-27,2.89711631735812e-27,0,5.44709986254408e-54,5.44709986254408e-54,5.44709986254408e-54,1.18822847086741e-26,9.79361740015199e-27,1.14341421430377e-26,9.26172485980509e-27,5.66415356132811e-28,7.96564689547459e-28,-1.37342583323016e-27,-1.37342583323016e-27
3.05655907588433e-14,-8.45081235944997e-28,-1.00388061755909e-28,-1.14973671479083e-28,6.92116226566424e-29,6.92116226566424e-29,3.5489674888433e-26,3.5489674888433e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,5.10246500042265e-24,5.07924552824619e-24,5.0971717570542e-24,5.07302728604359e-24,6.25003678840623e-27,8.47607405461763e-27,-1.25354718915935e-26,-1.25354718915935e-26
5.23981555865885e-14,-2.48350404031567e-27,-2.99814169257558e-28,-3.32126379834577e-28,2.03397424300708e-28,2.03397424300708e-28,1.04296187429481e-25,1.04296187429481e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,1.58487966625943e-23,1.5781719047555e-23,1.58333372550107e-23,1.57635907152454e-23,1.80302054233798e-26,2.42814371927353e-26,-3.47382057716647e-26,-3.47382057716647e-26
1.61560979725315e-13,-2.3610534938215e-26,-2.89344907051035e-27,-3.10574813778345e-27,1.9336881427582e-27,1.9336881427582e-27,9.91538059771029e-25,9.91538059771029e-25,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,1.54416689167161e-22,1.53789410767897e-22,1.54270582987319e-22,1.53618375878384e-22,1.68379256635351e-25,2.25196059474504e-25,-3.11362192491476e-25,-3.11362192491476e-25
2.70723803864041e-13,-6.62957606283492e-26,-8.147924577859e-27,-8.69246692253132e-27,5.42958195789149e-27,5.42958195789149e-27,2.78412878171817e-24,2.78412878171817e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,4.34378305320202e-22,4.32622642686891e-22,4.33968525782803e-22,4.32143107729071e-22,4.71141987900851e-25,6.2925702606383e-25,-8.64003374728666e-25,-8.64003374728666e-25
8.16537924557671e-13,-6.03094810902382e-25,-7.43329111986149e-26,-7.88225162404054e-26,4.93931100908982e-26,4.93931100908982e-26,2.53273151463773e-23,2.53273151463773e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,3.95509224041793e-21,3.93917190486867e-21,3.95136869531366e-21,3.93481596690317e-21,4.27116084460596e-24,5.69675702305695e-24,-7.76746721790506e-24,-7.76746721790506e-24
1.3623520452513e-12,-1.67884873073512e-24,-2.0703891294126e-25,-2.19279991196002e-25,1.37496767437872e-25,1.37496767437872e-25,7.05042227957106e-23,7.05042227957106e-23,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,1.10106492651064e-20,1.09663596704022e-20,1.10002862898043e-20,1.09542374916532e-20,1.18815217009018e-23,1.58429156254099e-23,-2.15713609458513e-23,-2.15713609458513e-23
